id	filename	md5	size	state
f322c423-9fdd-4a4d-b45c-aa261cb49c58	f322c423-9fdd-4a4d-b45c-aa261cb49c58/84f66477-4bd2-46f3-a2b1-2d4acb406293.rna_seq.augmented_star_gene_counts.tsv	62382a9bbf1e1b951bdc0360f4f22f75	4235138	validated
b8061cff-d788-40e9-85ed-7b0dd5c666d1	b8061cff-d788-40e9-85ed-7b0dd5c666d1/8e25718c-f90c-47b9-a346-3de2601e2cd4.rna_seq.augmented_star_gene_counts.tsv	d352e2b84c3a030089af222778813be2	4240861	validated
51d9078e-4e0f-4f3e-979a-4f08695757b4	51d9078e-4e0f-4f3e-979a-4f08695757b4/596ac9ca-ef00-4244-aac4-88e36311a9e5.rna_seq.augmented_star_gene_counts.tsv	85cb571c09bb4cb853a1cad5cfaad304	4215934	validated
045ffab4-4408-4550-b46c-ba0b237bb00f	045ffab4-4408-4550-b46c-ba0b237bb00f/7f03f1ba-e5b2-47da-bed0-d178d3229b92.rna_seq.augmented_star_gene_counts.tsv	d2b53674f89cf3d7ba5da34efe36db55	4223489	validated
d43cedec-541c-431d-9bb7-90fcc7a133a1	d43cedec-541c-431d-9bb7-90fcc7a133a1/f1812435-ef4f-408d-a285-22df1dcaecf2.rna_seq.augmented_star_gene_counts.tsv	2287c188df593bd73ffcf1abf6f73c55	4208474	validated
2448d8d4-198b-42b9-a822-f4fb071de2e7	2448d8d4-198b-42b9-a822-f4fb071de2e7/b32ef3a0-32ec-4e61-96e9-9340b6a36b86.rna_seq.augmented_star_gene_counts.tsv	5dade299f382f0aaedc5d94478ad9d6a	4229759	validated
bfc9aff7-93e2-4331-9722-764f599e9409	bfc9aff7-93e2-4331-9722-764f599e9409/b31f0c5b-e917-4d4b-9605-61a5aede7cad.rna_seq.augmented_star_gene_counts.tsv	3726419a393d98e25888199b764b6170	4221063	validated
13b83e88-3035-4c10-bc05-a6bdf2f04fd0	13b83e88-3035-4c10-bc05-a6bdf2f04fd0/fe204dc8-a469-44cf-a65e-d0e969637504.rna_seq.augmented_star_gene_counts.tsv	301a35a5bef834b75ad4d7ea2ca5c494	4238354	validated
5312ceac-498e-497a-8000-6083e2214917	5312ceac-498e-497a-8000-6083e2214917/90a3f106-2d1f-4c1e-a03b-153b6bf50eed.rna_seq.augmented_star_gene_counts.tsv	c8966936b415ddb7c51b4f2e8ae0afba	4215472	validated
bdc3e015-b191-47d1-b419-ba19f694215e	bdc3e015-b191-47d1-b419-ba19f694215e/3f8f7acb-85c0-4853-8fb5-05ea5239a371.rna_seq.augmented_star_gene_counts.tsv	323285973354478144b066626495b2cd	4236700	validated
657aad16-3e2f-4934-a5c8-0e5273c20469	657aad16-3e2f-4934-a5c8-0e5273c20469/840e7696-0620-4eff-b89b-d51c4fa76eab.rna_seq.augmented_star_gene_counts.tsv	1dd9711dc61d23e7989e445cb432e4d9	4219365	validated
