"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001916","positive regulation of T cell mediated cytotoxicity","21/2389","34/18842",0.617647058823529,4.87137123581119,8.60935211025129,2.3864008611447e-11,1.87093827513744e-09,1.87093827513744e-09,"HLA-DRA/CD1B/RAET1G/RAET1E/AZGP1/HLA-A/HLA-F/HLA-DRB1/IL12B/HLA-C/HLA-G/RAET1L/CD1C/CD1E/CD1A/IL12RB1/HLA-E/MR1/ULBP2/HLA-B/HLA-H",21
"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","14/2389","16/18842",0.875,6.90110925073252,8.9981270310157,2.50718013651835e-11,1.93976568456946e-09,1.93976568456946e-09,"RAET1G/RAET1E/AZGP1/HLA-A/HLA-F/HLA-C/HLA-G/RAET1L/HLA-E/B2M/ULBP2/TAP2/HLA-B/HLA-H",14
"GO:0002709","regulation of T cell mediated immunity","39/2389","100/18842",0.39,3.0759229803265,7.9312341324414,2.62962007609476e-11,2.0058247979497e-09,2.0058247979497e-09,"FUT7/HLA-DRA/CD1B/CD7/RAET1G/CD55/IL18/TRAF2/RAET1E/AZGP1/HLA-A/HLA-F/HLA-DRB1/SLAMF1/IL12B/HLA-C/HLA-G/RAET1L/CD1C/CD1E/KLRC1/BTLA/TNFRSF1B/NCKAP1L/CD1A/CD274/IL12RB1/IL18R1/HLA-E/MR1/FCGR2B/B2M/PTPRC/ULBP2/TNFRSF14/HLA-B/SECTM1/HLA-H/MAPK3",39
"GO:0009913","epidermal cell differentiation","59/2389","191/18842",0.308900523560209,2.43629286936855,7.60231967808743,2.66078799728022e-11,2.0058247979497e-09,2.0058247979497e-09,"SPRR2B/LIPK/SPRR2G/KRT77/PLEC/SPRR2E/KRT78/KRT3/IL20/AQP3/KRT1/KRT86/KRT80/EPHA2/CNFN/FLG/KRT75/FOXN1/KAZN/TGM1/SULT2B1/SPRR2D/CYP27B1/CSTA/KRT79/TRIM16/RHBDF2/GATA6/KRT81/SLC39A2/KRT7/LIPN/HES1/LCE1B/PI3/LCE3D/ABCA12/JAG1/SCEL/SLC44A4/S100A7/SPRR2F/VDR/SPINK5/PRKCH/KLK5/PPL/LCE3A/LCE1E/KRT84/ZBED2/ANKRD24/KRT10/CASP14/LCE1C/LCE3E/ANXA1/KRT4/EVPL",59
"GO:0002218","activation of innate immune response","85/2389","326/18842",0.260736196319018,2.05642168733485,7.33179009841441,3.44738439610866e-11,2.56590129735683e-09,2.56590129735683e-09,"IRAK3/RNF135/TNFAIP3/CLEC7A/LILRA4/SRC/TLR8/LILRA2/TRIM15/LBP/TNIP1/P2RX7/IRF2/HAVCR2/TRIM31/TRIM65/TRAF3IP3/BCL10/IFI35/TYRO3/DDX60/S100A8/TNIP3/PPT1/KCNK6/TNF/TRAF2/ARRB2/NOD2/NLRC3/OAS3/PTPN22/TIFAB/GBP2/OAS1/IFI16/NMI/TLR10/USP15/KLRC1/PYCARD/NFKBIA/SMPDL3A/CGAS/HSPA1A/TLR2/IRF1/RNF39/BRCC3/KLRC2/TLR6/CD274/BIRC3/BTK/OTULIN/SARM1/IRAK2/ZBP1/MEFV/NOD1/IRF5/NR1D1/CTSS/CD300A/RAB7B/NLRP10/MNDA/S100A14/CD300LF/CYLD/AIM2/CASP1/GFI1/SLC15A3/RIOK3/DHX58/EGFR/INAVA/PYHIN1/IFIH1/TLR1/ZNFX1/BPIFB1/STING1/F2RL1",85
"GO:0051251","positive regulation of lymphocyte activation","78/2389","289/18842",0.269896193771626,2.12866642237128,7.36792090343529,3.64607255194686e-11,2.67986332568095e-09,2.67986332568095e-09,"NFKBID/CD86/HLA-DPA1/HLA-DQB1/CLEC7A/HMCES/SRC/CCL5/HLA-DOA/HLA-DRA/HLA-DQA1/ZBTB7B/CD40LG/HAVCR2/CD27/IL15/PDCD1LG2/CD38/CD55/IL18/TYK2/TNFSF14/NOD2/CD47/HLA-A/PTPN6/HLA-DRB1/NCK1/IL2RG/SLAMF1/IL12B/IL36B/HLA-G/IL1A/HLA-DRB5/PYCARD/ICOS/TMIGD2/NCKAP1L/CAV1/HLA-DQB2/FLT3LG/CCR7/IL12RB2/SIRPG/TESPA1/CD274/BTK/TNFSF9/VSIR/SIRPB1/CD6/HLA-DPB1/RUNX3/IL12RB1/RASGRP1/HLA-E/ADAM8/B2M/PTPRC/HLA-DOB/RHOH/KLRC4-KLRK1/CCDC88B/HLA-DQA2/FCHO1/CD3E/VNN1/KLRK1/SASH3/CD70/TNFRSF14/IL7R/IL7/PIK3CD/JAK2/ANXA1/ARID1A",78
"GO:0050670","regulation of lymphocyte proliferation","60/2389","198/18842",0.303030303030303,2.38999454570823,7.49227388489319,4.36572771890992e-11,3.16919493669016e-09,3.16919493669016e-09,"DLG5/CD86/HLA-DPA1/CCL5/ZBTB7B/CD40LG/HAVCR2/IL15/SPN/PDCD1LG2/PLA2G2F/CD38/CD55/IL18/TYK2/SFTPD/LGALS9B/HLA-A/PTPN22/HLA-DRB1/NCK1/SLAMF1/IL12B/HLA-G/RAC2/IL1A/PYCARD/BTLA/TNFRSF1B/CRTAM/TMIGD2/LGALS9C/NCKAP1L/FLT3LG/IRF1/IL12RB2/CD274/BTK/TNFSF9/VSIR/CD6/HLA-DPB1/MZB1/IL12RB1/CD300A/HLA-E/MNDA/CDKN2A/FCGR2B/PTPRC/CCDC88B/PRNP/CD3E/SDC4/SASH3/CD70/TNFRSF14/IL7/JAK2/ANXA1",60
"GO:0006959","humoral immune response","79/2389","296/18842",0.266891891891892,2.10497154752073,7.30145350332226,4.97285946949814e-11,3.56590410739623e-09,3.56590410739623e-09,"IFNK/IGHE/HLA-DQB1/IL36RN/POU2AF1/CCL5/CXCL13/IGHD/SLPI/IFNE/KRT1/DMBT1/ANG/CTSG/CCL17/GZMK/CD55/CXCL2/TFE3/SPRR2A/RNASE6/IGHA2/S100A12/C5/CCL23/HLA-A/NTS/HLA-DRB1/HMGN2/BPIFA1/C8G/H2BC17/C4BPB/CXCL10/GATA6/WFDC3/DEFB1/IGHG2/DEFB4A/RNASE7/WFDC5/PSMB10/TFEB/CCR7/PI3/LYZ/CD59/FCMR/IGHA1/H2BC11/KLK7/C3/PGLYRP3/CCL22/PPBP/S100A7/CFD/CXCL11/ALOX5/SPINK5/KLK5/CCL4/CCL20/CCL26/HLA-E/IGHM/IGKV3-20/FCGR2B/B2M/KNG1/IGHG4/MS4A1/PGLYRP4/IGHG1/CFB/PRSS3/IL7/C2/CXCL6",79
"GO:0002221","pattern recognition receptor signaling pathway","78/2389","291/18842",0.268041237113402,2.11403641259553,7.29793042509132,5.25212851320346e-11,3.72078501899233e-09,3.72078501899233e-09,"IRAK3/RNF135/TNFAIP3/CLEC7A/LILRA4/SRC/TLR8/LILRA2/TRIM15/LBP/TNIP1/P2RX7/IRF2/HAVCR2/TRIM31/TRIM65/TRAF3IP3/BCL10/IFI35/TYRO3/DDX60/S100A8/TNIP3/PPT1/KCNK6/TNF/TRAF2/ARRB2/NOD2/NLRC3/OAS3/PTPN22/TIFAB/GBP2/OAS1/IFI16/NMI/TLR10/USP15/PYCARD/NFKBIA/SMPDL3A/CGAS/HSPA1A/TLR2/IRF1/RNF39/BRCC3/TLR6/CD274/BIRC3/BTK/OTULIN/SARM1/IRAK2/MEFV/NOD1/IRF5/NR1D1/CTSS/CD300A/RAB7B/S100A14/CD300LF/CYLD/AIM2/CASP1/GFI1/SLC15A3/RIOK3/DHX58/EGFR/INAVA/IFIH1/TLR1/BPIFB1/STING1/F2RL1",78
"GO:0030098","lymphocyte differentiation","90/2389","356/18842",0.252808988764045,1.99389994403187,7.2141254729024,5.50512489141016e-11,3.83765075893068e-09,3.83765075893068e-09,"NFKBID/CD86/PTGER4/POU2AF1/IL18RAP/NFAM1/HLA-DRA/IKZF1/ZBTB7B/IRF4/JUNB/ZNF683/CD2/ZBTB7A/CD27/SPN/RELB/IL6R/PSMB2/IL18/FOXN1/RORA/SLAMF6/CRACR2A/PTPN22/HLA-DRB1/IL2RG/SLAMF1/IL12B/IL36B/LRRC8A/BATF/HLA-G/CD3G/IL1A/JAK1/HDAC5/KLRC1/ICOS/IRF8/CRTAM/PSMB9/NCKAP1L/C17orf99/CD79A/CD3D/FLT3LG/PSMB10/SPIB/CCR7/IRF1/NOTCH2/SLC25A5/TESPA1/ZC3H12A/BTK/TNFSF9/VSIR/PAX5/RUNX3/IL12RB1/IL18R1/SPINK5/RASGRP1/HHEX/STAT3/LY9/ADAM8/MR1/STAT5A/IGHM/CDKN2A/SEMA4A/FCGR2B/PTPRC/RHOH/FLT3/CD3E/PTK2B/VNN1/MS4A1/CFB/IL7R/IL7/PIK3CD/STAT4/ANXA1/LY6D/RABL3/ARID1A",90
