"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","54/1110","254/9418",0.21259842519685,1.8038306022558,4.74688143969518,9.2919735048579e-06,0.000297343152155453,0.000297343152155453,"845/1909/89869/22953/4803/155/116444/6262/5155/6263/1139/6865/7039/1133/8822/5733/1131/3706/185/146/1812/4842/84812/623/114/135/1128/6543/4923/100507027/776/5332/219931/10105/2250/3358/2905/777/2903/2248/6870/2247/9965/1956/487/3363/2066/7424/815/491/3357/4843/778/2911",54
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","37/1110","154/9418",0.24025974025974,2.03852813852814,4.7495108701285,1.46266406806957e-05,0.00042904812663374,0.00042904812663374,"3678/5155/3371/595/7058/3681/1278/1285/1286/7412/87/1291/63923/1299/894/3918/1297/284217/3655/1293/1288/1277/8503/2243/6696/1956/1292/7057/3909/83660/7424/341640/3683/2335/3674/1280/1101",37
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","49/1110","233/9418",0.210300429184549,1.78433283068476,4.43106687921437,3.22818898951729e-05,0.000874094249469296,0.000874094249469296,"7140/3678/89/7058/127294/1278/1756/1285/50509/1286/1301/4629/1291/171024/1290/1299/4626/4604/6442/2318/1297/284217/7137/27295/84675/4635/1281/633/3655/4001/84676/29895/1293/4628/1288/1277/4811/1292/7057/4621/137868/83660/6444/2335/3674/1289/4607/4608/56776",49
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","20/1110","66/9418",0.303030303030303,2.57111657111657,4.68163615792003,4.41689035617793e-05,0.00111053243241045,0.00111053243241045,"1646/10941/1545/6820/6718/1543/54575/10170/3292/54490/1109/8644/340811/1645/3294/54577/1583/1571/54576/54600",20
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","47/1110","226/9418",0.207964601769911,1.76451407159372,4.25210740385903,6.22947070274417e-05,0.00146184912491063,0.00146184912491063,"1909/84152/2892/116444/6262/6752/1813/6750/170589/5733/1907/1080/1259/1908/22800/27198/1812/10411/114/135/1128/7137/84699/776/64399/2905/2903/5020/2735/1258/10021/8503/7434/3352/487/51738/112/3991/9586/815/491/7432/3776/2890/778/486/6755",47
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","21/1110","79/9418",0.265822784810127,2.25542251111871,4.09564966167116,0.000231337451694636,0.005089423937282,0.005089423937282,"10941/1545/1553/2946/2947/2949/2940/1543/222/2938/130/54575/218/54490/1565/1645/126/54577/1571/54576/54600",21
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","65/1110","362/9418",0.179558011049724,1.52349310636603,3.71250097215286,0.000295801526726334,0.00612483161221586,0.00612483161221586,"356/4803/3678/374/5155/596/3371/595/7058/7039/1278/1285/1286/3718/8822/1291/63923/3561/3815/2792/9048/1299/894/3918/1297/1021/9134/284217/1128/2323/84699/3655/5563/5522/2250/4602/2248/1293/3667/1440/1288/2247/2069/1277/9965/8503/6696/1956/1292/7057/3909/5618/9586/2066/930/7424/1943/2056/5105/2335/3674/1944/8115/1280/1101",65
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","41/1110","203/9418",0.201970443349754,1.71365552744863,3.75714982340244,0.000344844065862853,0.00674361728798467,0.00674361728798467,"3678/5155/596/3371/330/595/7058/857/1278/1285/1286/87/1291/63923/1299/894/3918/1297/284217/859/858/3655/57144/29895/1293/1288/1277/8503/6696/1956/1292/7057/3909/83660/5063/7424/2335/3674/4660/1280/1101",41
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","17/1110","63/9418",0.26984126984127,2.28951808951809,3.75357716442569,0.000737905737805911,0.0136706747214569,0.0136706747214569,"5730/242/22949/2053/5742/64600/4051/8644/340811/59344/255189/1571/26279/247/283748/54979/123745",17
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","20/1110","82/9418",0.24390243902439,2.06943528894748,3.55508956089493,0.00106856073807926,0.018638677466453,0.018638677466453,"7498/10941/2946/2947/2949/2940/2938/3614/54575/54490/10/54577/7378/1571/54576/978/4833/54600/1066/51733",20
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","22/1110","94/9418",0.234042553191489,1.98577726662833,3.51084069363522,0.00111196655339634,0.018638677466453,0.018638677466453,"100289462/1437/7186/5596/8061/8772/3458/4312/4322/27189/55540/1673/1440/6364/3605/338324/3553/6374/727897/6278/4314/112744",22
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","14/1110","50/9418",0.28,2.37571171171171,3.56499172686497,0.00143673073535097,0.022764491749216,0.022764491749216,"3592/1379/7058/3820/7412/3458/22914/1440/7057/3553/3606/100528032/3683/959",14
"Organismal Systems","Digestive system","hsa04976","Bile secretion","21/1110","90/9418",0.233333333333333,1.97975975975976,3.41362739396411,0.00148745258588627,0.022764491749216,0.022764491749216,"1244/10941/6550/1080/343/64241/114/6523/54575/28234/10599/366/54490/6343/54577/112/54576/949/8714/54600/486",21
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","18/1110","73/9418",0.246575342465753,2.09211403184006,3.42380715340016,0.00163302187108372,0.0236568338217883,0.0236568338217883,"10941/2328/2946/2947/2949/2940/222/2938/130/54575/218/54490/1565/126/54577/1571/54576/54600",18
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","23/1110","103/9418",0.223300970873786,1.89463832764804,3.33690784892429,0.00170146080622746,0.0236568338217883,0.0236568338217883,"3592/1437/1278/1285/1286/87/3458/3918/284217/5332/1281/4583/1288/1277/8503/3553/383/3909/5273/733/2335/7850/4843",23
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","32/1110","160/9418",0.2,1.69693693693694,3.24985823069057,0.00174737977092755,0.0236568338217883,0.0236568338217883,"1272/923/84189/7412/4684/49861/933/1002/1000/926/914/6900/3655/79679/9378/9071/23308/1013/149461/102723996/5133/9073/925/3897/3683/26285/1365/51208/10686/959/5789/927",32
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","20/1110","86/9418",0.232558139534884,1.97318248481039,3.3137952813354,0.00199080312971807,0.0259541741355837,0.0259541741355837,"3678/6262/89/1756/2697/6442/4842/1000/284217/6543/859/776/3655/27091/786/487/137868/6444/3674/778",20
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","14/1110","52/9418",0.269230769230769,2.28433818433818,3.39448208081792,0.00216418600479937,0.026647319006151,0.026647319006151,"1545/1543/114/3292/8644/340811/3294/255189/1583/112/949/283748/6770/123745",14
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","17/1110","69/9418",0.246376811594203,2.09042955999478,3.32283757020168,0.00219537571357494,0.026647319006151,0.026647319006151,"54905/10941/1543/130/54575/10170/54490/145226/126/54577/201140/54576/6121/54600/1592/50700/56603",17
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","21/1110","93/9418",0.225806451612903,1.91589654170299,3.24438962472011,0.00229391003129824,0.0269152110338994,0.0269152110338994,"596/7186/330/595/1285/1286/3918/1021/9134/284217/6258/3655/1288/8503/1870/3909/1869/2335/3674/7185/4843",21
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","40/1110","217/9418",0.184331797235023,1.5639971769004,3.07226598377353,0.00252498060304347,0.0276127497913535,0.0276127497913535,"155/596/1139/10941/595/1545/55584/23746/1137/2053/8822/2946/2947/2949/2940/79852/1543/2938/114/54575/2099/84699/6258/776/2250/54490/2248/2247/8503/1956/54577/112/54576/367/9586/7471/1869/54852/54600/778",40
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","17/1110","70/9418",0.242857142857143,2.06056628056628,3.25534494206492,0.00258841449966967,0.0276127497913535,0.0276127497913535,"1646/10941/1545/1553/2946/2947/2949/2940/1543/2938/54575/54490/10/54577/1571/54576/54600",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","22/1110","100/9418",0.22,1.86663063063063,3.18450703405838,0.00258869529293939,0.0276127497913535,0.0276127497913535,"50604/3579/6363/3561/643/6364/5473/2833/10344/6370/3577/1235/6374/11009/4049/3606/6373/6369/58985/146433/1232/9547",22
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","30/1110","155/9418",0.193548387096774,1.64219703574542,2.94664518596628,0.00399288352409975,0.0413380882495033,0.0413380882495033,"2516/595/23746/50940/185/7474/7476/5087/7481/1021/114/9134/1029/84699/776/5332/1031/1956/1870/1583/112/9586/949/7471/1869/815/3776/7473/6770/778",30
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","12/1110","45/9418",0.266666666666667,2.26258258258258,3.10310358430805,0.00477586918837341,0.0480315986944983,0.0480315986944983,"20/1244/64137/24/154664/1080/6833/64241/225/21/26154/8714",12
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","21/1110","99/9418",0.212121212121212,1.7997815997816,2.92397651697833,0.00503557850961865,0.0492367676496046,0.0492367676496046,"3678/6262/1756/6442/4842/284217/6543/7137/859/776/3655/5563/27091/786/487/137868/6444/53632/3674/4607/778",21
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","20/1110","93/9418",0.21505376344086,1.82466337305047,2.92121344451943,0.00520272090926906,0.0494961556773705,0.0494961556773705,"280/1470/54831/155/6263/5555/1131/146/4842/114/1755/5332/4589/4025/112/727897/653247/491/55503/486",20
