"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","100/1110","217/9418",0.460829493087558,3.90999294225101,15.8516260287551,2.16254075876293e-37,7.6121434708455e-35,7.6121434708455e-35,"6698/353144/353142/6703/3854/3885/242/126410/6701/204219/353131/1285/2053/1041/1286/374454/353238/353145/49861/6705/3866/3880/79852/353141/338785/3857/353134/3892/285848/7051/8688/3918/3713/8687/3848/3849/7053/25984/26239/286887/6273/388697/9333/6700/121214/9119/353140/3655/3034/5522/353139/151516/3855/353137/2312/1308/1823/4014/1828/6283/59344/1288/9071/196374/6785/338324/7062/6281/3861/51350/149461/388698/3888/3853/3909/26154/9073/126637/3851/110806278/84648/147409/26285/1365/23581/51208/122526777/3872/10686/55304/163778/254910/3858/6278/6704/3868/6706/6707/3850/6699",100
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","88/1110","371/9418",0.237196765498652,2.01253976348316,7.27304505151641,4.00894029232501e-11,7.05573491449202e-09,7.05573491449202e-09,"2796/1909/22953/2892/155/116444/6752/1813/1139/1146/55584/6750/3640/6865/1137/2568/1133/344838/59350/170589/152/130574/2798/51289/8862/2556/5733/1131/1907/185/1908/387129/5368/2147/146/57152/2561/1812/51083/2917/623/135/1128/432355/4923/100996758/5540/2569/2150/8001/3061/797/3358/2905/2903/5020/286530/6870/6343/5646/10874/2831/1134/7434/3352/2358/55879/3363/2922/51738/5618/9248/27334/2847/727/4142/10316/2151/7432/2562/2566/3357/8484/1269/8973/2890/2911/6755",88
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","88/1110","404/9418",0.217821782178218,1.84814913923825,6.36903538922792,4.04806779525368e-09,4.74973287976431e-07,4.74973287976431e-07,"84152/56112/147138/3854/3885/2568/374454/2556/87/2697/6330/1009/3866/26025/3880/7474/7476/22800/338785/3857/3892/7481/8688/2561/1002/64405/8687/1000/3848/3849/25984/286887/4430/56114/5100/56104/9119/2569/56138/56130/1005/56131/8641/1006/1012/3855/144165/1823/79905/1828/56113/10083/196374/56125/1013/64072/1956/10413/54798/55879/3861/51350/57526/56097/3888/3853/56105/6327/3851/7471/147409/56100/56107/2562/2566/3872/7473/3858/1014/120114/26167/56101/340596/3868/56111/56106/3850/375323",88
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","34/1110","103/9418",0.330097087378641,2.80076970174058,6.71668356489999,9.69038226472240e-09,8.52753639295571e-07,8.52753639295571e-07,"1803/1278/1285/50509/1286/23428/1301/6550/1291/7512/1290/1299/1297/6564/6543/6520/1281/6505/1303/1308/1293/1358/1310/1288/5646/1277/1292/340267/91522/4311/3784/1289/1280/486",34
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","68/1110","298/9418",0.228187919463087,1.93610254549852,6.00210612086929,3.78315713704035e-08,2.66334262447641e-06,2.66334262447641e-06,"356/3592/4803/651/3589/1437/26525/84639/50604/3552/3624/51330/608/3458/3579/3623/6363/3561/133396/653/9173/8792/643/50615/27189/56300/284340/23495/3625/55540/9466/9518/1440/9966/115650/6364/5473/2833/3605/4050/59067/10344/6370/55801/3553/3577/1235/6374/939/11009/4049/5618/3606/6373/3604/56832/2056/6369/58985/27177/146433/3598/959/1232/7850/9547/3977/112744",68
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","17/1110","38/9418",0.447368421052632,3.79577999051683,6.31194058403202,3.69666004049233e-07,2.1687072237555e-05,2.1687072237555e-05,"7535/915/3543/5896/326/3718/3561/926/23495/115650/973/57379/930/925/959/916/927",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","28/1110","89/9418",0.314606741573034,2.66933900192327,5.78351049062627,5.99041432219706e-07,3.01232263059052e-05,3.01232263059052e-05,"3678/3371/7058/960/1278/1285/1286/1291/63923/1299/3918/1297/284217/3655/1293/9899/1288/1277/6696/1292/2811/7057/3909/341640/2335/3674/1280/1101",28
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","46/1110","199/9418",0.231155778894472,1.96128389696229,5.00963204861248,4.2625682515823e-06,0.000187553003069621,0.000187553003069621,"22953/2892/116444/1813/1139/6865/1137/2568/1133/152/2556/1131/285242/5368/60482/146/2792/6538/2561/1812/2917/114/135/1128/2569/5332/8001/3358/6505/2905/2903/6870/57030/3352/55879/3363/112/6570/2562/2566/3357/8973/2890/2911/6530/6511",46
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","16/1110","41/9418",0.390243902439024,3.31109646231597,5.42060265908088,7.24447358041035e-06,0.000272437821572593,0.000272437821572593,"2892/116444/1139/1137/2568/2556/2561/2569/2905/2903/57030/55879/2562/2566/8973/2890",16
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","28/1110","100/9418",0.28,2.37571171171171,5.05516822039223,7.73971084013048e-06,0.000272437821572593,0.000272437821572593,"1379/3678/3589/1437/915/3552/960/3815/933/926/1380/914/2323/3655/1440/2208/2811/3553/917/931/930/925/2056/4311/3674/7850/916/927",28
