"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","58/1492","226/9400",0.256637168141593,1.61688296282237,4.07727058199259,8.76841802004229e-05,0.0013989612386522,0.0013989612386522,"1816/1081/776/54714/2770/117/5143/5732/134/6752/51196/5021/64399/11149/6755/815/810/483/2893/90993/1080/1128/6751/489/5139/1258/5350/4881/5293/482/112/56670/2902/3355/9586/6750/4852/2737/1262/1813/84152/111/5443/268/6662/2891/154/113/775/7137/491/10021/1907/148327/2903/8843/338442/486",58
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","34/1492","115/9400",0.295652173913043,1.86268795896958,4.04299876405848,0.000148489392582948,0.00226607725202672,0.00226607725202672,"776/2770/1139/6572/2793/3760/5332/3717/815/3768/5582/90993/1128/5293/1136/112/3786/9586/1143/43/3785/8973/111/56479/113/775/1131/5578/1137/1103/148327/3784/3761/2784",34
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","39/1492","139/9400",0.280575539568345,1.76770112060486,3.96061418542153,0.000173310297461852,0.00247902630018903,0.00247902630018903,"8689/2770/2852/342574/3760/5332/810/2099/8687/90993/3310/8688/54474/3884/5293/3857/3872/5241/112/3866/9586/25759/4318/3885/111/5443/192666/3860/113/7031/3881/3868/3882/148327/3883/3861/3858/1956/1839",39
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","25/1492","76/9400",0.328947368421053,2.07245661069564,4.07734349784141,0.000176568824799788,0.00247902630018903,0.00247902630018903,"51129/11001/9370/1582/4199/2169/376497/2167/2171/5468/33/948/2173/116519/345/4312/5105/336/4973/2168/2172/364/440503/3158/23305",25
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","29/1492","94/9400",0.308510638297872,1.94369973190349,3.99400073465688,0.000198944514464208,0.00251895565140866,0.00251895565140866,"1440/6356/27189/3553/6372/6280/100289462/2921/338324/6374/3934/4586/3458/225689/3569/1673/7124/4312/4318/3627/727897/1437/6279/8061/4314/55540/4322/5596/6278",29
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","31/1492","103/9400",0.300970873786408,1.89619719409667,3.97230587653472,0.000200942331166503,0.00251895565140866,0.00251895565140866,"1288/54407/57642/131873/1298/483/1803/482/340024/1280/1360/6543/84570/7512/5645/5644/3769/5646/6564/1287/1297/1308/4224/8645/6519/10008/3784/1294/169044/4311/486",31
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","31/1492","103/9400",0.300970873786408,1.89619719409667,3.97230587653472,0.000200942331166503,0.00251895565140866,0.00251895565140866,"1288/3315/7040/4583/3553/5332/5582/5275/3909/1511/2921/3918/913/5293/3458/735/5273/3569/7124/1437/7097/929/909/2769/5578/1287/6318/3592/338382/9630/6317",31
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","62/1492","254/9400",0.244094488188976,1.5378607164721,3.7745309593127,0.00023489266884913,0.00284301126779465,0.00284301126779465,"1816/10800/776/777/1139/26281/51196/5021/5332/815/5582/810/3274/1128/2066/489/56034/6870/4842/7424/5350/3357/2260/26291/2250/91807/2902/56413/4803/887/7134/2254/6261/5027/6543/2925/2261/6263/5026/154/113/7125/775/1131/8817/9127/2769/5578/8912/491/155/147/100130933/623/553/2903/3363/1956/4915/9630/4776/2264",62
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","15/1492","37/9400",0.405405405405405,2.5541627418303,4.11416542152008,0.000276528829739808,0.00323538730795575,0.00323538730795575,"54657/7367/441282/7358/79799/57016/51084/54577/54600/54576/54578/7364/54658/7366/54490",15
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","17/1492","45/9400",0.377777777777778,2.38010128090557,4.03076265315967,0.000302608382365896,0.00342630781323966,0.00342630781323966,"3553/3002/356/3458/942/3569/3804/7124/5551/3552/3821/3812/941/3802/3811/115653/3824",17
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","13/1492","31/9400",0.419354838709677,2.64204791144167,3.97751620993008,0.000475429499472547,0.0052148673223395,0.0052148673223395,"54657/7367/7358/79799/54577/54600/54576/54578/55586/7364/54658/7366/54490",13
