"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
6.46907608710158,5.47559332904236,0.243232930927296,22.5117269613425,3.18615126890155e-112,1.26314967055602e-107,"AC019171.1"
341.972657919851,4.62928079438009,0.212962048486897,21.7375857683155,9.05373925663281e-105,1.79467746414604e-100,"STAG3"
62.9523673041094,5.81344066501015,0.268881083414407,21.6208615019983,1.14323347760066e-103,1.51078304064927e-99,"TAF7L"
185.45548092667,5.90548939663904,0.286061898188176,20.644096379289,1.10305931555613e-94,1.09326966413057e-90,"SMC1B"
82.5778804449371,6.51713521702152,0.324365837590784,20.0919285009399,8.68234269056299e-90,6.8842295193474e-86,"ZFR2"
48.25427641361,2.79093125452332,0.140923191359797,19.8046270992946,2.71566089171798e-87,1.79437293420266e-83,"RAD9B"
56.031396490043,4.47708850854357,0.247937188501552,18.0573496682832,6.90596443057365e-73,3.91124228357275e-69,"TDRD10"
10.8724898886633,6.94842085086193,0.387065229578984,17.9515500744405,4.66694391381724e-72,2.31276239329106e-68,"GBX1"
60.1306723323415,3.04129152295728,0.174772911957253,17.4013895454299,8.05256170674868e-68,3.54715343182279e-64,"GRIN2C"
67.2879784403898,4.98313151792947,0.287965447684683,17.3046160850031,4.34165509778912e-67,1.7212491635185e-63,"ABCA17P"
34.0546189625723,3.18054117031024,0.184707082375436,17.2193785392889,1.90017523105407e-66,6.84840427592169e-63,"CNTD1"
62.157595167448,4.05586370158165,0.236793164024575,17.1282972559153,9.12875607095957e-66,3.01591278694327e-62,"C8G"
724.849813448101,1.2647920452649,0.0738850476531658,17.1183762539092,1.08252957645256e-65,3.30129885065089e-62,"PRDM15"
425.076360860716,4.64146242097789,0.271898451003978,17.0705732373223,2.45774815490058e-65,6.95981611435954e-62,"SYCP2"
2623.73047316617,1.24452672133639,0.0761333318810228,16.3466735342842,4.59382975685219e-60,1.21414920473603e-56,"RPA2"
12.4776475431286,5.07228515424777,0.31469967600629,16.1178594735712,1.91115184858063e-58,4.7354759398112e-55,"MAJIN"
46.321016013335,4.5225880502401,0.282245748988826,16.0235825214117,8.74626313982984e-58,2.03968001281502e-54,"UPB1"
318.011863119977,4.9072848742417,0.309413521692864,15.8599561111387,1.19977699484158e-56,2.64250883113857e-53,"NEFH"
13.6533149878423,6.72824399575971,0.427895393042908,15.7240393450205,1.0350884986123e-55,2.15979386986761e-52,"SHCBP1L"
22.0077571777779,2.92344913275328,0.187264587248536,15.6113292732347,6.09536790358638e-55,1.20825430268841e-51,"SYCE2"
