"Gene","HR","Lower95CI","Upper95CI","Pvalue"
"ZFR2",0.700612431911931,0.566969765989977,0.865756534464357,0.000984664180346725
"STAG3",0.777259673727793,0.645717956996505,0.935598265244938,0.00772961750362186
"SMC1B",0.778389128925404,0.651941331815183,0.929362208624335,0.00560719760776489
"RAD9B",0.794094660958102,0.668172232422367,0.943748183422795,0.00886578655357989
