"Shared_Genes"
"CFTR"
"MTMR7"
"AK2"
"SLC22A16"
"SLC25A13"
"CALCR"
"MCUB"
"HOXA11"
"ACSM3"
"REXO5"
"COPZ2"
"PRKAR2B"
"TSPOAP1"
"PON1"
"ZNF195"
"ITGA3"
"OSBPL7"
"KRT33A"
"MAP3K14"
"TMEM132A"
"TNFRSF12A"
"KDM7A"
"TTC22"
"CCL26"
"TBXA2R"
"NOS2"
"DNAH9"
"PAX6"
"CACNA2D2"
"FMO3"
"MYLIP"
"E2F2"
"CAMK1G"
"CELSR3"
"PLEKHG6"
"IL32"
"TENM1"
"TRAF3IP3"
"NISCH"
"IDS"
"PRSS3"
"BTK"
"SYT7"
"PLAUR"
"LDAF1"
"GABRA3"
"BRCA1"
"UBR7"
"MVP"
"DNASE1L1"
"CD6"
"CAPN1"
"MTMR11"
"SLC38A5"
"CNTN1"
"CYP24A1"
"RUNX3"
"PLEKHB1"
"SERPINB1"
"RNF10"
"BIRC3"
"STRAP"
"EHD2"
"CCDC28A"
"NCAPH2"
"VIM"
"FAS"
"SLAMF7"
"TNFRSF1B"
"SNX1"
"BAK1"
"IKZF2"
"GRN"
"CENPQ"
"PIAS1"
"SLC4A7"
"APBA2"
"ASTE1"
"TIMCC"
"SLC18A1"
"FLT4"
"HOXC8"
"TLL1"
"VCAN"
"SOX30"
"BEST2"
"STAU2"
"PHF23"
"RAB27B"
"MED17"
"BARX2"
"CNTLN"
"CTPS2"
"ATP6V1H"
"XK"
"ROS1"
"HDAC9"
"TNFRSF17"
"SNX29"
"LMO3"
"VPS13D"
"ERCC8"
"PER3"
"TNFRSF9"
"ARHGEF5"
"LIMA1"
"SLC4A8"
"TNIP3"
"COL23A1"
"RAD51"
"POLQ"
"PIK3CB"
"METTL24"
"MCF2L2"
"LAMA3"
"LY75"
"LAMC2"
"DGKG"
"ALDH18A1"
"MXD1"
"PSD"
"STYK1"
"GNA15"
"RIMBP2"
"ACAA1"
"BCAT1"
"ARSF"
"POLD1"
"SLC6A16"
"SPHK2"
"AHRR"
"MTMR1"
"TM7SF3"
"DLX3"
"HIPK2"
"SUGP2"
"ABCA7"
"SBNO2"
"DGKA"
"ANKRD44"
"PACC1"
"SLK"
"TIE1"
"DIP2B"
"SLC9A3"
"ISOC1"
"STAG3"
"PFKP"
"SP100"
"TNFRSF1A"
"PKM"
"HYAL2"
"FGFR3"
"IFI35"
"TFE3"
"GPKOW"
"GRIPAP1"
"FTSJ1"
"TTC7A"
"SDK2"
"DNAJA2"
"BCL3"
"NEDD4"
"MAPK6"
"GNB5"
"RAB27A"
"LRP6"
"PTPN3"
"FSTL3"
"ZXDC"
"FRMPD1"
"ST6GALNAC2"
"PABPC1"
"TESK2"
"PTPN21"
"MYO3B"
"SLC6A15"
"SMC1A"
"P4HA2"
"ACAP1"
"SIDT1"
"CYP2W1"
"MCM2"
"PPP2R3A"
"FERMT2"
"DHRS9"
"MAP3K13"
"TEAD2"
"ATP2A3"
"TACR2"
"TIPIN"
"SLC25A40"
"CACNG5"
"RAB7A"
"TUBA3D"
"MKRN2"
"MCM6"
"FMO4"
"TPD52"
"TPD52-MRPS28"
"ICAM3"
"ARHGEF1"
"TOP2B"
"NFKB2"
"APBB1IP"
"POLD3"
"JADE1"
"FGFR1"
"SMC1B"
"PIAS2"
"ZCWPW1"
"ADCYAP1R1"
"TNRC6C"
"TP73"
"CLUL1"
"FKBP7"
"SP140"
"SENP1"
"CIC"
"LIPE"
"CRYBG3"
"RFX3"
"PSEN1"
"RBL1"
"IGSF9B"
"PTPRC"
"PCDHB4"
"PCDHGA2"
"IFT25"
"SMARCD3"
"MPP4"
"PALB2"
"TNPO1"
"NUFIP1"
"OXCT1"
"ZNF671"
"COL16A1"
"TXLNA"
"EFR3B"
"CD59"
"BCORL1"
"MECOM"
"SCAMP1"
"ORC1"
"NFX1"
"EIF2AK1"
"SNX10"
"HSD17B2"
"PPEF1"
"NOX4"
"MTMR2"
"GNAS"
"PHACTR3"
"TFAP2C"
"RFX2"
"SULT2B1"
"ASAP3"
"TMEM40"
"EBF4"
"TESC"
"SIRPG"
"SLC23A2"
"LHX5"
"OAS1"
"PXN"
"KIF16B"
"TBX5"
"FXYD5"
"CDIP1"
"CMTM1"
"KCNH4"
"ARHGAP4"
"ANKRD24"
"RCOR1"
"SLC9A1"
"ICAM1"
"IRAK3"
"MUL1"
"FETUB"
"FLT3LG"
"RAB11FIP3"
"EFNB1"
"DTX2"
"WDR7"
"RAPGEF4"
"ESR1"
"ANGPT2"
"HAUS4"
"CEBPE"
"G2E3"
"TGM1"
"SEMA6A"
"WDR76"
"EZR"
"MYL6"
"AGO1"
"CLSPN"
"CDC6"
"TBC1D2"
"BAMBI"
"MYO3A"
"CRISP3"
"FKBP5"
"IFT74"
"JAK2"
"CDC7"
"ABLIM1"
"NRP1"
"PALMD"
"KCNK6"
"CBARP"
"CDC34"
"CEP170B"
"CDHR5"
"PALM"
"ARVCF"
"ZDHHC8"
"MED15"
"SERPIND1"
"DERL3"
"TBC1D10A"
"SEC14L2"
"UPB1"
"PRODH"
"LGALS2"
"SEZ6L"
"PATZ1"
"GCAT"
"POLR2F"
"DEPDC5"
"SLC16A8"
"SLC5A1"
"DDX17"
"DMC1"
"MCM5"
"CBX7"
"PNPLA5"
"GRAP2"
"NCF4"
"CSF2RB"
"UPK3A"
"ST13"
"IL2RB"
"POLR3H"
"KCNK10"
"CTSG"
"POLE2"
"DDHD1"
"PLEK2"
"CHGA"
"ASB2"
"MTHFD1"
"ZC3H14"
"BDKRB1"
"PAPLN"
"DHRS2"
"PROCR"
"CD40"
"ZMYND8"
"HNF4A"
"SLCO4A1"
"EEF1A2"
"PTK6"
"FERMT1"
"MROH8"
"JAG1"
"OXT"
"E2F1"
"ZNF516"
"LAMA1"
"NOL4"
"POLI"
"VSIG1"
"POLA1"
"PRPS2"
"AMMECR1"
"SUV39H1"
"CCDC22"
"PLS3"
"PIM2"
"PCSK1N"
"PHEX"
"PCYT1B"
"CD40LG"
"SRPX2"
"SYTL4"
"CENPI"
"TAF7L"
"FGF14"
"FNDC3A"
"MLNR"
"ACP5"
"TRADD"
"MAPK3"
"GDPD3"
"ELMO3"
"MT4"
"N4BP1"
"ACD"
"PSMD7"
"SLC7A6"
"SEC14L5"
"NME4"
"MEFV"
"EEF2K"
"SALL1"
"PYCARD"
"IL21R"
"SLC6A2"
"IQCH"
"HERC1"
"CTSH"
"CEP152"
"TGM5"
"FZD3"
"RIPK2"
"CALB1"
"EIF3E"
"NDRG1"
"IL7"
"NCALD"
"SH2D4A"
"MCM4"
"HNRNPL"
"RELB"
"SLC17A7"
"PTOV1"
"ASF1B"
"EPHX3"
"ZNF419"
"CASP14"
"CCNP"
"ZFR2"
"DENND3"
"DMAC2"
"PLIN3"
"MYH14"
"CD79A"
"ETFB"
"CEACAM5"
"TYK2"
"CNFN"
"LIG1"
"SIGLEC6"
"PLA2G4C"
"RASIP1"
"BCAT2"
"ARRDC2"
"TMEM59L"
"ZNF85"
"ETHE1"
"PON3"
"SP4"
"DLX5"
"GSDME"
"OGDH"
"CAV2"
"CAV1"
"MET"
"HOXA1"
"HOXA6"
"PLEKHA8"
"NOD1"
"TFR2"
"PCOLCE"
"SERPINE1"
"GLCCI1"
"PHF14"
"CEP41"
"POU6F2"
"TBL2"
"LHX2"
"C5"
"KCNT1"
"TYRP1"
"BAG1"
"PHYH"
"RAB11FIP2"
"LIPA"
"PITRM1"
"STN1"
"DKK1"
"EBF3"
"CSF3"
"RNF43"
"RASD1"
"C1QBP"
"ALDH3A1"
"ASIC2"
"RAB5C"
"RND2"
"DUSP3"
"EFNB3"
"YWHAE"
"MAP2K6"
"NAT9"
"TNFAIP1"
"FOXN1"
"USP46"
"CRACD"
"UCP1"
"CPE"
"WFS1"
"ANXA10"
"SLC2A9"
"NKX3-2"
"LRP2BP"
"UGDH"
"DDX25"
"HTATIP2"
"MTCH2"
"TECTA"
"TBCEL-TECTA"
"CRTAM"
"CCND1"
"CCDC86"
"ARHGEF17"
"DDX6"
"UPK2"
"CD81"
"SOX6"
"POU2AF1"
"PSMD9"
"SELPLG"
"TSPAN11"
"MLEC"
"IL23A"
"CYP27B1"
"ACSS3"
"GLI1"
"ELK3"
"TRPV4"
"CUX2"
"LTBR"
"OAS3"
"ENDOU"
"VDR"
"RFC5"
"ADGRD1"
"TIMELESS"
"GNPTAB"
"PTPN6"
"SLCO1B3"
"KLRB1"
"FRK"
"DSE"
"PAK1IP1"
"FAM184A"
"MAN1A1"
"HDDC2"
"FANCE"
"SLC26A8"
"MCM3"
"RNF8"
"MDGA1"
"BMP5"
"BAG2"
"CCNC"
"VNN1"
"ACOT13"
"GMNN"
"ADGRG6"
"UNC93A"
"PDE10A"
"LINC00473"
"PTK7"
"PRSS16"
"NME5"
"HBEGF"
"GZMK"
"CERT1"
"PCDHB5"
"PCDHB6"
"PCDHB15"
"GRM6"
"IL12B"
"CCNG1"
"SLC27A6"
"RAD1"
"PRLR"
"HMGXB3"
"PDGFRB"
"EHHADH"
"ACTR8"
"CRBN"
"KNG1"
"CLDN16"
"BCHE"
"COL7A1"
"HES1"
"ECT2"
"HYAL1"
"CSPG5"
"PLSCR4"
"ACVR2B"
"COMMD2"
"RRP9"
"VIPR1"
"IL1A"
"CCL20"
"PIKFYVE"
"SLC35F5"
"EPB41L5"
"GPD2"
"CYTIP"
"SLC30A3"
"IFIH1"
"TLX2"
"GALNT3"
"POLE4"
"MRPL19"
"FANCL"
"CHMP3"
"PRKAG3"
"IL1RL1"
"IL18R1"
"IL18RAP"
"STK25"
"ODC1"
"QPCT"
"DLX2"
"SDC1"
"COX7A2L"
"PLEK"
"RND3"
"TIA1"
"VAX2"
"MSH6"
"BCL9"
"PAPPA2"
"AMPD2"
"SRSF4"
"KCNC4"
"S100PBP"
"RNF19B"
"DLGAP3"
"FBXO2"
"NCF2"
"PLA2G4A"
"CTH"
"CD2"
"NR5A2"
"KIF21B"
"MAP7D1"
"BMP8B"
"ST6GALNAC5"
"SLAMF1"
"CD48"
"MFAP2"
"PINK1-AS"
"ECE1"
"ID3"
"P3H1"
"F3"
"DPH5"
"MAN1C1"
"PROX1"
"ARID1A"
"RPA2"
"STAG1"
"ZNF541"
"SLC8A2"
"IRAG2"
"RAB32"
"VAMP8"
"DCLRE1B"
"PPL"
"PCDH17"
"ELL2"
"SATB2"
"PIGZ"
"CCDC92"
"PHF19"
"ONECUT2"
"FCF1"
"IFI27L2"
"TTLL5"
"FLVCR2"
"ALDH6A1"
"GPR68"
"RHOQ"
