"CellType","Median_HPV_Negative","Median_HPV_Positive","Pvalue","FDR"
"Plasma cells",0.145198456839206,0.488424290198653,7.39552983516079e-05,0.00018488824587902
"T cells CD8",0.0425040942186773,0.0710632060180217,0.000283955605061498,0.000391894192261211
"Macrophages M0",0.131349461451889,0.0334963021182558,2.54377877206835e-06,1.27188938603418e-05
"NK cells resting",0.0288881132193007,0.00512464970956238,0.000313515353808969,0.000391894192261211
"T cells CD4 memory resting",0.0675018177699105,0.0405060543446922,0.00944583044828984,0.00944583044828984
