"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.15",3460.37548359364,-0.334064564264754,0.11165261663988,-2.99199942032915,0.00277156789366576,0.00683350821831883
"ENSG00000000005.6",2.0713685975243,-0.654456940336135,0.473201789245284,-1.38303986842471,0.166652641648099,0.240623788071537
"ENSG00000000419.13",2637.1526412705,0.0526648541178754,0.0701914303266639,0.750303190471806,0.453072121516115,0.545401118817708
"ENSG00000000457.14",755.686158630126,0.0327776567736061,0.0726992978253245,0.450866208534248,0.652085979304002,0.725307872234011
"ENSG00000000460.17",746.372444192614,0.256069063927671,0.0920556237224475,2.78167757246133,0.00540787371799199,0.0123547165038991
"ENSG00000000938.13",516.959606165577,0.607203455365347,0.151497269805448,4.0080158285698,6.12310173568592e-05,0.000220453128222592
"ENSG00000000971.16",4005.44327710664,0.651695435902726,0.219712859626649,2.96612331663305,0.0030157954000366,0.00736369300530293
"ENSG00000001036.14",2841.97913227426,-0.309984045437935,0.105759865657788,-2.93101776850741,0.00337853456473498,0.0081429167667018
"ENSG00000001084.13",3388.94860338725,1.58677410028431,0.197603389320877,8.03009556535307,9.73967690038416e-16,1.88095466049326e-14
"ENSG00000001167.14",1694.7402756503,-0.0116091892863642,0.0757732316244638,-0.153209636668262,0.878232958432383,0.910366135059357
"ENSG00000001460.18",751.657941331242,-0.0523736322515432,0.0995510043631383,-0.526098481744058,0.598819783501018,0.679008741890981
"ENSG00000001461.17",2243.11875336349,0.232890222279433,0.0832127642945422,2.79873195240923,0.00513037067359919,0.0117957095298647
"ENSG00000001497.18",3770.32776458081,0.0677679362277286,0.083320030804242,0.81334506929009,0.416020243789894,0.510130831539047
"ENSG00000001561.7",617.424818371677,-2.18840835698672,0.230352425941705,-9.50026181856029,2.09363239152737e-21,8.08114000681357e-20
"ENSG00000001617.12",8573.04370183863,0.95539952372812,0.115614781800502,8.26364508801908,1.41290285013311e-16,3.05944535831535e-15
