"SYMBOL","CESC_LFC","HNSC_LFC"
"A1BG",-0.801897342246628,-0.0611773856085915
"A1BG-AS1",-0.477827069179342,-0.199453780265417
"A2M",-1.48781961905156,-0.111100836972005
"A2M-AS1",-0.63940543607162,0.0883109147606163
"A2ML1",2.60033594037748,-0.0616258732192966
"A3GALT2",1.44229888869932,2.79415460368544
"A4GALT",0.0441419094554781,0.0579883211214314
"A4GNT",1.2309312145834,-0.190662108172375
"AAAS",-0.00604881874882551,0.0818427702315724
"AACS",0.510057756684342,0.239961600128466
"AADAC",1.6902874583214,0.085626687510745
"AADACL2",3.40611919913638,-2.14667335511129
"AADAT",-2.6144692136458,0.0391486642597204
"AAGAB",0.142573486280516,-0.329635119536402
"AAK1",0.303593681691573,-0.110359391570833
"AAMDC",0.151556474228462,0.135284785377384
"AAMP",-0.248496346705887,-0.183659487066883
"AANAT",1.40722671406841,0.0438260959079742
"AAR2",0.139430929846678,-0.318102381108804
"AARD",-3.0100452205581,-0.799042134842037
"AARS1",-0.0775058799325266,-0.204816118546548
"AARS2",0.102203292564511,0.30211177412479
"AARSD1",-0.180906097304457,0.197960931827357
"AARSD1P1",-1.06486060850911,0.284864480788506
"AASDH",0.0758029213934096,-0.0186766534862194
"AASDHPPT",-0.550791934367913,-0.571793208927427
"AASS",-0.581550798470182,0.269154841915521
"AATBC",0.287679551469972,0.827302132472498
"AATF",0.102692229358201,-0.483475620159782
"AATK",-0.0787084039032257,-0.560400642627316
"ABAT",0.364130155471121,-0.730019082337573
"ABCA1",0.512914694228055,-0.31336392357787
"ABCA10",-0.162678317030659,-0.583341942488401
"ABCA12",2.21408529281257,-1.41013465565848
"ABCA13",2.82257127251588,1.29748972233818
"ABCA2",-0.190636884822991,1.09872089163955
"ABCA3",0.540902215603366,3.2974777169102
"ABCA4",0.363906753569861,-2.43681843690151
"ABCA5",0.0993783457641317,0.294251969373428
"ABCA6",-0.103988750262131,-0.344648620608125
"ABCA7",1.13485473124469,0.684674623358794
"ABCA8",-1.54984061584,-0.359626967875283
"ABCA9",-0.341984532921692,-0.210308393232889
"ABCB1",0.478696535953399,0.468647197529988
"ABCB10",-0.00988113078803849,0.087803126440367
"ABCB11",1.43932570534894,-0.0157815731345779
"ABCB4",-1.11530677980221,0.314956691999751
"ABCB5",0.116016088994498,0.034452268079521
"ABCB6",-0.754708537468776,0.174430361049748
"ABCB7",0.23335056305395,0.143715297640612
"ABCB8",0.0231696017111259,-0.290598957510189
"ABCB9",-0.242296746803541,0.185178407284539
"ABCC1",0.470022610492991,-0.794708236061274
"ABCC10",-0.261202950442039,-0.0686987448670157
"ABCC11",1.55441791316289,-0.565106981247226
"ABCC2",-0.652696927561395,-2.05710505721407
"ABCC3",0.885878331165541,-1.05219267193728
"ABCC4",-0.638398129199086,0.47952810068434
"ABCC5",1.46379429684092,0.48817096138514
"ABCC6",-0.946155893658514,-0.202542709049465
"ABCC8",0.872085206774125,1.06424786699748
"ABCC9",-0.758196142051375,-0.167946973460526
"ABCD1",0.182883973762879,-0.330603395614113
"ABCD2",0.851540309483187,1.27048257079752
"ABCD3",-0.0998662818475067,0.231698444065622
"ABCD4",-0.324958245742388,-0.0211054931360468
"ABCE1",-0.327736945172311,-0.340432185047295
"ABCF1",0.115975293281118,-0.262107214438049
"ABCF2",-0.493572302931278,-0.396122040712926
"ABCF3",0.239385243398635,-0.0106865234855105
"ABCG1",0.571169966925876,-0.257782630048086
"ABCG2",-0.452852830020944,-0.620195493875302
"ABCG4",-0.442611122404239,-2.83324239012039
"ABCG5",-0.231638150064478,-0.706554575584827
"ABCG8",-0.183067876760686,-1.1910198394023
"ABHD1",-0.535788703683779,-0.0950017272588094
"ABHD10",-0.123541141702404,0.395949138801477
"ABHD11",-0.573793377512895,0.510353302183887
"ABHD12",0.0227291481975248,0.309665429235253
"ABHD12B",-4.83179438776191,-1.34882399852437
"ABHD13",0.131461532084581,-0.242508089874198
"ABHD14A",-0.722519190468597,-0.295902622321453
"ABHD14B",0.0400333647132608,0.0768267936136601
"ABHD15",0.274518046944947,-0.142018896577564
"ABHD16A",-0.219411647571598,0.448429984918717
"ABHD17A",-0.160906042238632,-0.102713532986416
"ABHD17B",0.0739793507245615,0.109497901631381
"ABHD17C",0.68506308160018,0.314778163640153
"ABHD18",-0.255965103415654,0.370429069458889
"ABHD2",-0.275184262099753,0.41269117212626
"ABHD3",0.249091434768452,0.0407515852728622
"ABHD4",0.29248291882089,-0.31496352266373
"ABHD5",0.0367098547371559,0.0253885978663424
