"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","31/1490","103/9400",0.300970873786408,1.89874242522969,3.98041319475928,0.000196022920767669,0.00245728732819471,0.00245728732819471,"1437/5293/2769/3553/5273/6318/7097/929/909/6317/1511/5578/9630/913/735/1288/338382/3458/7124/4583/3909/5332/1287/7040/5582/2921/5275/3569/3918/3592/3315",31
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","62/1490","254/9400",0.244094488188976,1.53992495904455,3.78599800742707,0.00022620149144406,0.00273781805161604,0.00273781805161604,"4842/2769/1816/56413/1128/777/8817/51196/10800/810/100130933/776/56034/491/6263/91807/7424/8912/2264/2902/155/2254/623/6261/2261/3363/5578/4776/9127/26291/9630/1131/26281/3274/815/6543/2250/553/1956/5021/887/5332/6870/154/7125/2925/7134/5350/5027/1139/2066/2260/4915/147/113/2903/4803/5026/5582/3357/489/775",62
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","17/1490","45/9400",0.377777777777778,2.38329604772558,4.03687418610704,0.00029767413890737,0.00348278742521623,0.00348278742521623,"3804/3553/356/3812/115653/5551/3824/3802/3002/3458/3821/7124/3552/942/941/3811/3569",17
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","26/1490","86/9400",0.302325581395349,1.9072889027626,3.66836401909444,0.000578384592623528,0.00654880619389866,0.00654880619389866,"90993/10242/6513/776/112/6833/111/3651/6616/5578/1131/117/482/815/483/5332/148327/9586/486/3767/113/3781/6804/5582/775/2645",26
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","36/1490","133/9400",0.270676691729323,1.70762476661452,3.56701537166031,0.000622860646683121,0.00683200271830548,0.00683200271830548,"1437/5293/3809/919/3804/356/3805/962/2214/3812/3384/2207/154064/5551/51744/135250/3824/3822/5578/3802/7305/3002/353091/4068/8743/7535/3458/3821/7124/10870/3823/25759/3383/5582/80328/3811",36
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","40/1490","154/9400",0.25974025974026,1.63862982654929,3.46799394929658,0.000786165506311236,0.00836194220349224,0.00836194220349224,"90993/3784/55799/5523/810/776/491/6330/112/102723475/785/186/111/9254/5578/5502/2770/482/815/6543/483/183/5332/782/154/5521/7134/5350/148327/9586/486/3753/147/113/7137/489/775/59285/5522/11149",40
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","23/1490","75/9400",0.306666666666667,1.93467561521253,3.52705994775108,0.00094580135604934,0.0097640081168623,0.0097640081168623,"90993/7849/112/50506/111/5578/7173/482/483/4036/5332/7276/6528/1081/148327/9586/486/213/113/389434/5582/2877/433",23
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","14/1490","37/9400",0.378378378378378,2.38708507164883,3.66895314288792,0.0009853399882082,0.00988155245317367,0.00988155245317367,"54577/54657/7364/51084/7358/7367/54576/57016/79799/54490/54578/54658/441282/7366",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","26/1490","89/9400",0.292134831460674,1.84299826559083,3.46792134143372,0.00102328483053234,0.00997702709769029,0.00997702709769029,"1298/948/131873/3678/1297/3673/6382/5649/3655/7448/341640/1280/1758/1288/158326/9899/63923/80144/3674/3909/1287/22987/8515/960/3918/3679",26
"Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","11/1490","26/9400",0.423076923076923,2.6690758905524,3.69867354117206,0.00117065460576273,0.0111053990979113,0.0111053990979113,"8399/26279/5320/283748/391013/123745/54979/64600/11145/255189/5319",11
