"SYMBOL","ENSEMBL","HR","Lower95CI","Upper95CI","Pvalue"
"LOC375196","ENSG00000269210",0.990662669628703,0.982257435026513,0.999139828317388,0.0309348172950634
"STAG3","ENSG00000066923",0.999739765122736,0.999548323186796,0.999931243725252,0.00772961750362186
"TAF7L","ENSG00000102387",0.999419401131176,0.998777283384728,1.00006193169759,0.0765434977888999
"SMC1B","ENSG00000077935",0.999516401687924,0.999174352927392,0.999858567542489,0.00560719760776485
"ZFR2","ENSG00000105278",0.998836049104666,0.998144312407404,0.999528265191184,0.000984664180346733
"RAD9B","ENSG00000151164",0.99669052595528,0.994219294678144,0.999167899724378,0.00886578655357993
"TDRD10","ENSG00000163239",0.999100342296892,0.998152183849665,1.00004940141283,0.0631707470528358
"GBX1","ENSG00000164900",0.997476870597206,0.994764080975739,1.00019705818134,0.0690400221246185
"GRIN2C","ENSG00000161509",0.999057089957284,0.998042765670095,1.00007244511589,0.0687304698052803
