"EnsemblGeneID","WaldStatistic"
"ENSG00000269210",22.4336798421794
"ENSG00000066923",21.7462922800038
"ENSG00000102387",21.623876942029
"ENSG00000077935",20.650158634136
"ENSG00000105278",20.0955577155615
"ENSG00000151164",19.8085511407256
"ENSG00000163239",18.0593341878735
"ENSG00000164900",17.9134636754862
"ENSG00000161509",17.4048921894373
"ENSG00000176563",17.2190102793834
"ENSG00000176919",17.1307254590967
"ENSG00000141956",17.1300067994915
"ENSG00000196074",17.0760372297575
"ENSG00000117748",16.3578579386583
"ENSG00000168070",16.0966588765694
"ENSG00000100024",16.0239738394773
"ENSG00000100285",15.8643196023544
"ENSG00000157060",15.698518072182
"ENSG00000161860",15.6067397567553
"ENSG00000132016",15.5574163493567
"ENSG00000198963",15.4068691591183
"ENSG00000156414",15.3459315004461
"ENSG00000118156",15.1060499162782
"ENSG00000039600",14.9920790349248
"ENSG00000100350",14.7868329759415
"ENSG00000173404",14.4608070992835
"ENSG00000123080",13.9544852801299
"ENSG00000172247",13.6885471601269
"ENSG00000109832",13.6720501036089
"ENSG00000167077",13.6594500291216
"ENSG00000128408",13.5840156760425
"ENSG00000105486",13.5291234716598
"ENSG00000197993",13.4719969833061
"ENSG00000232434",13.2360253182694
"ENSG00000255571",13.1532860394267
"ENSG00000228716",13.1385581803936
"ENSG00000149243",13.0536031042145
"ENSG00000186075",12.9186767413233
"ENSG00000056736",12.8576138913565
"ENSG00000180336",12.8409353271793
"ENSG00000215883",12.835770543793
"ENSG00000214694",12.6055569129819
"ENSG00000178803",12.2769015135012
"ENSG00000233223",12.2465746683357
"ENSG00000177842",12.1934147624422
"ENSG00000180998",12.1476605386842
"ENSG00000231453",12.1178130375062
"ENSG00000127561",12.0849977225085
"ENSG00000184389",11.992262236758
"ENSG00000241634",11.9775290655535
"ENSG00000162521",11.942597670576
"ENSG00000169116",11.9363543577181
"ENSG00000174197",11.8899867203102
"ENSG00000087301",11.8775795439221
"ENSG00000159263",11.8505123563456
"ENSG00000100297",11.8486209562314
"ENSG00000133302",11.8035071931389
"ENSG00000081052",11.801468453899
"ENSG00000165810",11.7872082728371
"ENSG00000113368",11.7456689829839
"ENSG00000127191",11.7424743502744
"ENSG00000143340",11.741466360014
"ENSG00000214575",11.7144357783164
"ENSG00000125813",11.7033984583438
"ENSG00000115392",11.6942606112094
"ENSG00000183454",11.6921893852778
"ENSG00000128268",11.6423999877483
"ENSG00000198825",11.5898369316004
"ENSG00000167384",11.5886680781186
"ENSG00000161609",11.5817038044579
"ENSG00000081138",11.5803770543394
"ENSG00000154760",11.5456078579356
"ENSG00000073111",11.3926490661236
"ENSG00000100027",11.3623593249407
"ENSG00000092470",11.3527915939832
"ENSG00000197291",11.2501680223268
"ENSG00000123219",11.2307458368497
"ENSG00000167972",11.1544645106789
"ENSG00000148204",11.1307717697202
"ENSG00000103365",11.1085704758124
"ENSG00000145819",11.035160864103
"ENSG00000114742",11.0164028424566
"ENSG00000153012",10.9983186534034
"ENSG00000091831",10.991293486496
"ENSG00000136535",10.9277895725346
"ENSG00000225465",10.9210215547492
"ENSG00000186281",10.920425398931
"ENSG00000168944",10.9182097966698
"ENSG00000111602",10.9150795427692
"ENSG00000162692",10.8624651459453
"ENSG00000157540",10.8551586995513
"ENSG00000129173",10.8446288347154
"ENSG00000138376",10.8196692929871
"ENSG00000165244",10.8171347466888
"ENSG00000136492",10.8097919095676
"ENSG00000175305",10.793115114806
"ENSG00000171791",10.7815602959278
"ENSG00000174500",10.7710320994981
"ENSG00000097046",10.7675289302749
"ENSG00000105011",10.7569783736982
"ENSG00000078699",10.6852675811523
"ENSG00000112983",10.6815516361909
"ENSG00000162607",10.6565598546774
"ENSG00000081026",10.6412053756756
"ENSG00000120802",10.5992753010517
"ENSG00000159267",10.594428173476
"ENSG00000165181",10.5927932308398
"ENSG00000285043",10.5838480955366
"ENSG00000119969",10.5388694969498
"ENSG00000188263",10.5203270749803
"ENSG00000196188",10.4993132839542
"ENSG00000214357",10.4723114972826
"ENSG00000101868",10.4488728447725
"ENSG00000257167",10.4455350241302
"ENSG00000150477",10.444128917877
"ENSG00000157470",10.4373315201946
"ENSG00000073050",10.4168535233282
"ENSG00000159259",10.4036216067081
"ENSG00000094916",10.4018623512425
"ENSG00000273274",10.3892692693973
"ENSG00000176907",10.3746021416636
