"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000000003",4108.5283142648,-0.269055630883028,0.264180417534754,-1.01845410569704,0.30846220065368,0.49075656565125,"TSPAN6"
"ENSG00000000419",3005.78202368819,0.00130173733562875,0.157126972301853,0.00828462049868822,0.993389904825983,0.996969030218371,"DPM1"
"ENSG00000000457",825.945293621841,0.121142425149176,0.175787733095328,0.689140379798182,0.490734931242982,0.661175763934205,"SCYL3"
"ENSG00000000460",805.199376912075,0.521571734757541,0.215459908697659,2.42073682250292,0.0154890864875556,0.060093957211099,"FIRRM"
"ENSG00000000938",589.920940333266,1.10452823047291,0.347523163817963,3.17828664523633,0.00148148206702474,0.0105867794412674,"FGR"
"ENSG00000000971",4951.21321904936,0.44176568156246,0.496479145795268,0.889797054526496,0.373574868462446,0.554140453148283,"CFH"
"ENSG00000001036",3266.52407976557,0.333378927418853,0.229979322227761,1.44960392173297,0.147169001773439,0.300233122368383,"FUCA2"
"ENSG00000001084",3744.27554337621,0.11108638127646,0.48013710413044,0.231363875694724,0.817032126865215,0.895944589772743,"GCLC"
"ENSG00000001167",1856.3715314659,-0.498914836310035,0.179269605022828,-2.78304197884802,0.00538518379417629,0.0276907620113313,"NFYA"
"ENSG00000001460",864.011428801945,0.545747217636578,0.225514354946742,2.4200109911649,0.0155200379887131,0.0601501917300142,"STPG1"
"ENSG00000001461",2473.66055877709,0.599904350412239,0.194038391917036,3.0916786337249,0.0019902819066897,0.0132288082514769,"NIPAL3"
"ENSG00000001497",4390.12121913105,0.403783906987722,0.198233852843766,2.03690692177565,0.0416593703658664,0.123436176299514,"LAS1L"
"ENSG00000001561",724.858369241894,-1.28448644735414,0.579134123632301,-2.21794295127681,0.0265587224420674,0.0888916141765026,"ENPP4"
"ENSG00000001617",9274.85843873336,0.356696400958774,0.289041475621354,1.23406649579262,0.217178126933524,0.3893943191482,"SEMA3F"
"ENSG00000001626",244.639648914835,2.42864987654168,0.922277442528849,2.63331809339542,0.00845551157278019,0.0385984205541394,"CFTR"
"ENSG00000001629",2972.20677607791,-0.171566898284134,0.189712845050731,-0.904350457863069,0.365809599182425,0.546871327408644,"ANKIB1"
"ENSG00000001630",79.8817429064211,-0.194324519395308,0.495767253079496,-0.391967235004422,0.695082423270458,0.815961124556505,"CYP51A1"
"ENSG00000001631",381.659701195246,-0.170963432625472,0.156735999214395,-1.09077323322268,0.275372677174789,0.45508677451976,"KRIT1"
"ENSG00000002016",501.874014796988,-0.00359580321432187,0.195592563369507,-0.0183841509737198,0.98533239599807,0.992824588290098,"RAD52"
