"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045058","T cell selection","12/1077","64/18842",0.1875,3.28029247910864,4.49917716713987,0.000237449671306051,0.023664475716603,0.023664475716603,"LY9/SLAMF6/CD3D/THEMIS/ZAP70/JAK3/AIRE/IRF4/BTNL3/TBX21/CD3G/CD3E",12
"GO:0002820","negative regulation of adaptive immune response","12/1077","65/18842",0.184615384615385,3.2298264409685,4.43396087556756,0.000276282035826362,0.0270756395109835,0.0270756395109835,"IL12A/CR1L/SLAMF1/IL27RA/CD160/JAK3/PDCD1/CR2/FOXJ1/BTLA/TBX21/SUSD4",12
"GO:0001894","tissue homeostasis","24/1077","194/18842",0.123711340206186,2.16431668724693,4.01359065780536,0.000303503312331822,0.0287838625243728,0.0287838625243728,"CRB2/MAK/INPP5D/MUC13/CRACD/SH3GL2/CDH23/NR1I2/MUC4/ILDR1/BARD1/DMD/CLDN3/WNK3/SLC1A1/USH2A/ESRRB/TJP3/IL17A/MUC2/USH1C/ABCC8/TNFRSF11A/NOTCH1",24
"GO:0060249","anatomical structure homeostasis","24/1077","194/18842",0.123711340206186,2.16431668724693,4.01359065780536,0.000303503312331822,0.0287838625243728,0.0287838625243728,"CRB2/MAK/INPP5D/MUC13/CRACD/SH3GL2/CDH23/NR1I2/MUC4/ILDR1/BARD1/DMD/CLDN3/WNK3/SLC1A1/USH2A/ESRRB/TJP3/IL17A/MUC2/USH1C/ABCC8/TNFRSF11A/NOTCH1",24
"GO:0002717","positive regulation of natural killer cell mediated immunity","8/1077","32/18842",0.25,4.37372330547818,4.70291655625474,0.000340872979889537,0.0313682940558976,0.0313682940558976,"IL12A/NCR3/SLAMF6/CRTAM/CD160/KLRK1/KLRC4-KLRK1/IL21",8
"GO:0000727","double-strand break repair via break-induced replication","5/1077","12/18842",0.416666666666667,7.28953884246363,5.36613367460438,0.000341423608771675,0.0313682940558976,0.0313682940558976,"MCMDC2/GINS4/CDC7/MCM2/MCM5",5
"GO:0098815","modulation of excitatory postsynaptic potential","10/1077","49/18842",0.204081632653061,3.57038637181892,4.43583735200697,0.000380779846715392,0.0344459307490231,0.0344459307490231,"CUX2/CHRNA7/RIMS1/TMEM108/CBLN1/SLC8A2/NRXN1/GRIN2C/GRIN2A/PNOC",10
"GO:0042267","natural killer cell mediated cytotoxicity","13/1077","77/18842",0.168831168831169,2.95368327123202,4.22963076691269,0.000390841832114437,0.0348204541338316,0.0348204541338316,"IL12A/NCR3/NCR1/SLAMF6/INPP5D/KLRB1/CRTAM/CD160/NKG7/KLRK1/KLRC4-KLRK1/CD2/IL21",13
"GO:0045187","regulation of circadian sleep/wake cycle, sleep","6/1077","19/18842",0.315789473684211,5.52470312270928,4.85847183230571,0.00048983617435958,0.042356422135799,0.042356422135799,"KCNA2/PTGDS/ADORA2A/PER3/NMU/GHRL",6
"GO:0097400","interleukin-17-mediated signaling pathway","6/1077","19/18842",0.315789473684211,5.52470312270928,4.85847183230571,0.00048983617435958,0.042356422135799,0.042356422135799,"IL17REL/IL17RB/TRAF2/IL17A/IL17F/NOTCH1",6
"GO:0003014","renal system process","17/1077","122/18842",0.139344262295082,2.43781298993866,3.92289439125441,0.000572693375368712,0.0488034354662033,0.0488034354662033,"TRPV5/CHRNA7/CYP4F12/WNK4/JCHAIN/WNK3/IGKV3-20/OXT/ADORA2A/KCNQ1/SCN11A/SLC22A6/CLDN16/IGHA2/ADCY6/IGHA1/PRKAR2B",17
