"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
52.1241326958606,-5.78496852403746,0.464213070474793,-12.461882036455,1.20493027912685e-35,1.06154357591075e-32,"LINC02700"
1544.24799493428,-5.20104324789652,0.418673341371014,-12.4226759479475,1.96864676262433e-35,1.69667393270091e-32,"DSC1"
181.992032568084,-4.66890446771551,0.380065796722697,-12.2844636585965,1.09770602506508e-34,9.25926709866069e-32,"FOLR3"
398.402321865951,-7.58932183775867,0.622129687164622,-12.1989385723534,3.1490198333477e-34,2.40082483255903e-31,"AL033397.1"
412.951499713356,-5.44403127661464,0.447418229890466,-12.1676563736516,4.62162196521256e-34,3.39304079279355e-31,"MUCL1"
679.651368354912,-4.40924166822165,0.36251558803371,-12.1629022689409,4.89868308910588e-34,3.53105983759278e-31,"RDH12"
24407.7568929223,-1.45951366834297,0.121119387114294,-12.0502068505821,1.93463822880339e-33,1.2573562718182e-30,"SLC3A2"
168.192288662891,-5.44265883857632,0.459974243756434,-11.8325295654126,2.65032435322497e-32,1.52278418816817e-29,"IGFL3"
238.088376766671,-3.25332010208452,0.280275715826665,-11.6075703972031,3.77180906483328e-31,1.84609099228785e-28,"SLC35F3"
622.307957506074,-4.49324624591306,0.397726393458341,-11.2973298222505,1.35268576606329e-29,5.89310188962407e-27,"SPRR4"
10108.7551319502,-1.17695418084576,0.104849815946661,-11.225143031672,3.06889475975091e-29,1.29599856298032e-26,"FKBP9"
4377.84145391375,-5.41762656636799,0.485259678447595,-11.1643864243978,6.09103067247572e-29,2.54188327379263e-26,"CES1"
50.4218633750101,-4.81191221194139,0.431728072411138,-11.1457014714553,7.51497654304798e-29,3.07145613452719e-26,"TCHHL1"
5826.39602545503,-1.47577477068517,0.132585589562469,-11.1307328010171,8.89016193563281e-29,3.59643336671595e-26,"MYO5A"
6251.36062164462,-4.34914807205771,0.391848915767334,-11.0990432716677,1.2679386106976e-28,4.97697289317884e-26,"KLK5"
43735.2077178517,-1.98004930792777,0.178992591433263,-11.0621858260878,1.91375980371568e-28,7.40007304754163e-26,"SLC7A5"
10601.5137260564,-1.55143352862751,0.140631442989477,-11.0319107565696,2.68107364410651e-28,1.0122968059105e-25,"CHPF"
12325.7428669111,-4.40385438886017,0.408663838988865,-10.7762272281208,4.45797086359945e-27,1.4138900390992e-24,"MMP13"
136.837682699448,-3.61152052164875,0.335427909817373,-10.7669052453479,4.9330485612661e-27,1.54890420292322e-24,"LNCAROD"
72.3359118232892,-7.25104004291959,0.674994103001924,-10.7423753936098,6.43666099074948e-27,1.96293403829433e-24,"LCE1A"
