"ID","aDC_xCell","Adipocytes_xCell","Astrocytes_xCell","B-cells_xCell","Basophils_xCell","CD4+_memory_T-cells_xCell","CD4+_naive_T-cells_xCell","CD4+_T-cells_xCell","CD4+_Tcm_xCell","CD4+_Tem_xCell","CD8+_naive_T-cells_xCell","CD8+_T-cells_xCell","CD8+_Tcm_xCell","CD8+_Tem_xCell","cDC_xCell","Chondrocytes_xCell","Class-switched_memory_B-cells_xCell","CLP_xCell","CMP_xCell","DC_xCell","Endothelial_cells_xCell","Eosinophils_xCell","Epithelial_cells_xCell","Erythrocytes_xCell","Fibroblasts_xCell","GMP_xCell","Hepatocytes_xCell","HSC_xCell","iDC_xCell","Keratinocytes_xCell","ly_Endothelial_cells_xCell","Macrophages_xCell","Macrophages_M1_xCell","Macrophages_M2_xCell","Mast_cells_xCell","Megakaryocytes_xCell","Melanocytes_xCell","Memory_B-cells_xCell","MEP_xCell","Mesangial_cells_xCell","Monocytes_xCell","MPP_xCell","MSC_xCell","mv_Endothelial_cells_xCell","Myocytes_xCell","naive_B-cells_xCell","Neurons_xCell","Neutrophils_xCell","NK_cells_xCell","NKT_xCell","Osteoblast_xCell","pDC_xCell","Pericytes_xCell","Plasma_cells_xCell","Platelets_xCell","Preadipocytes_xCell","pro_B-cells_xCell","Sebocytes_xCell","Skeletal_muscle_xCell","Smooth_muscle_xCell","Tgd_cells_xCell","Th1_cells_xCell","Th2_cells_xCell","Tregs_xCell","ImmuneScore_xCell","StromaScore_xCell","MicroenvironmentScore_xCell"
"TCGA-C5-A3HD-01B-11R-A213-07",3.40456780538087e-23,0,1.64884182047241e-21,5.22921924932298e-22,1.41772516218386e-06,7.39549603467197e-24,7.69867946881455e-24,0,6.25890820971496e-07,2.30040148529093e-07,4.27035486539319e-23,1.14845909352835e-22,0,5.46113274496163e-23,0,0,2.45542471401716e-08,7.82650170081834e-23,3.28368694754805e-22,0,1.12615136020899e-22,2.99089131573737e-23,0,1.73827996397422e-24,1.24678381123282e-21,0,1.02193207059609e-22,5.27283185762495e-22,5.40651552135273e-23,0,0,8.98251204212425e-24,9.01898145468501e-24,0,4.68857506920597e-09,5.21808726797066e-24,2.64648078556941e-22,0,1.73247194994889e-06,0,0,0,0,0,0,0,0,8.72435416472494e-23,0,1.83869263072125e-07,1.10433982227715e-06,0,0,0,3.01369138004264e-22,2.13353641850855e-21,0,0,3.98218728872632e-22,3.7655951231427e-05,2.87542104350727e-23,0,1.96927561707067e-23,3.26090078378875e-23,3.12571671280449e-09,6.79699473626861e-22,3.12571671280517e-09
"TCGA-FU-A770-01A-11R-A33Z-07",0,0,5.98629437035699e-22,0,4.87302146603934e-06,0,0,0,1.13407652265297e-22,8.795986908056e-07,9.05939191443051e-23,7.17989975019604e-24,6.38985591053247e-22,0,0,0,2.73787594203446e-24,1.08906664898946e-22,0,0,0,0,1.35980797743026e-22,4.58677380498936e-23,2.4574918628838e-22,0,0,5.7434175289655e-23,6.50201032103006e-21,0,0,0,0,9.17717036159031e-25,1.7999128313336e-08,0,1.06919645187643e-22,5.54494806818218e-23,7.59135307353214e-07,0,2.12517754604746e-22,0,8.36650263178769e-22,2.25542177412279e-22,0,0,0,0,0,2.69489768874316e-22,0,5.87972660878945e-23,0,0,9.84026072676799e-23,1.85511744385013e-22,5.14243250680826e-28,9.16143687475547e-25,1.53623467764423e-21,3.13169689874141e-05,1.99924131788949e-22,0,0,0,1.19994188755575e-08,1.2287459314419e-22,1.19994188755576e-08
"TCGA-LP-A5U3-01A-11R-A28H-07",0,0,3.48672635528044e-21,0,5.72547342464424e-06,7.69894006298484e-23,2.09675277591852e-22,0,2.46941082081095e-22,1.29000410872709e-06,1.60370902662465e-23,4.01751849330056e-23,0,1.4105865378572e-22,0,0,0,0,9.5606180513168e-22,2.65441202681033e-23,0,0,0,4.60010312493115e-23,4.4957032573936e-23,0,0,0,0,1.90345913149812e-23,0,0,0,0,5.19395832554465e-22,0,0,0,2.01437042870213e-06,6.25335256953678e-23,1.07764924152402e-21,0,1.02967304339161e-21,2.28255184224709e-22,1.37735535346222e-22,0,0,0,1.62398102994787e-21,0,0,0,0,2.7653636611418e-25,0,1.76987008726362e-21,0,0,6.22298885814777e-22,3.46415428228541e-05,0,0,2.23896383141738e-22,0,2.19183027281831e-21,2.2478516286968e-23,2.21430878910528e-21
"TCGA-C5-A1M8-01A-21R-A13Y-07",7.62100398532641e-23,3.37058203553278e-23,0,1.44312538050484e-25,3.93836305645351e-07,1.0567002900537e-23,0,0,5.16987882845642e-26,1.12879200886409e-06,0,0,1.97393010178123e-23,6.26018615522958e-23,1.84811078179076e-10,1.82398603426871e-22,1.71832997655708e-09,0,0,0,0,0,4.49326174717511e-08,3.96292706919335e-24,1.04771272904925e-21,0,5.21567716222336e-22,6.68014070542478e-08,4.07486412250386e-23,0,0,0,2.91439465005501e-23,0,2.15936284977849e-23,0,0,1.56423053709949e-24,2.04456491765924e-06,3.01559406041197e-22,1.5038245341186e-22,0,4.81209750437468e-06,1.80384309963385e-23,7.13411095669004e-23,0,7.09050525786233e-26,0,5.27101674614649e-23,7.74758531162092e-07,4.89794291196674e-06,0,1.85732961947762e-21,9.05905432257883e-09,0,1.16284157148956e-21,2.92229762922303e-23,3.67104305491507e-24,1.00053494230723e-22,3.3009192433762e-05,3.61447529745396e-23,4.58768879318679e-09,0,3.67821964029139e-23,1.49887041272774e-22,5.4070927470229e-22,6.90596315975064e-22
"TCGA-C5-A7CK-01A-11R-A32P-07",0,3.77045789664715e-23,6.05564343678279e-21,7.11387546327786e-09,0,9.1722712058514e-26,5.84364424978291e-23,0,3.87320842618754e-07,3.22741417055632e-08,2.31010226230333e-24,1.66269030269739e-23,6.70141924527896e-24,0,8.23901774247637e-10,0,6.38148480833987e-08,0,0,0,3.09981855020345e-23,1.63756817397757e-23,3.63701224530734e-23,1.3105225091693e-23,1.05598976666846e-21,0,1.39269056588003e-22,0,2.87883808938425e-23,1.4559244652074e-23,0,9.67937474608336e-24,0,7.22227782063835e-24,0,0,0,1.30276071082716e-24,1.0148224933196e-06,5.36267200556616e-23,3.31729388741707e-22,0,0,1.75639716490795e-22,0,0,6.70032080831963e-11,0,0,3.80835737875807e-07,0,1.11460991469946e-25,0,9.33343367442053e-08,0,2.57829788808793e-21,0,0,0,6.74921462625501e-05,0,3.54040966991524e-09,1.28830343443522e-08,7.08481484930807e-23,4.74258364218549e-09,5.62346265568482e-22,4.74258364218605e-09
"TCGA-DG-A2KL-01A-11R-A180-07",0,1.43241627803602e-22,6.36682695259629e-21,0,7.37491630104936e-07,0,3.99684660945744e-23,0,1.35430456596757e-07,7.49113063156358e-07,6.40123803496632e-24,0,0,0,1.05630008565981e-07,0,9.80157619690591e-08,1.59214254016887e-23,0,0,0,2.11532430793517e-23,0,0,0,0,2.92348947247268e-22,0,0,0,5.60795607240821e-23,6.79008692702519e-23,1.74350037895823e-23,1.46528396722583e-23,4.96883290812042e-23,9.96293641854003e-25,2.01797731556479e-22,1.62973345488515e-24,3.09410816547701e-07,0,9.07751915410649e-23,8.00234902838472e-26,1.18019731393856e-21,0,0,0,0,6.07530730778964e-23,0,0,1.1031979871588e-21,1.09379107354563e-25,0,4.55487404731308e-28,3.76622143429883e-23,1.10776185037531e-21,1.0017414370562e-24,0,1.69316313912334e-21,6.60014588143924e-05,2.19120251227711e-24,0,5.102863076386e-24,0,1.93513804033179e-22,7.16208139018012e-23,2.65134617934981e-22
"TCGA-BI-A0VR-01A-11R-A10U-07",3.54826651501299e-24,1.36908012038595e-22,2.25476910530465e-22,9.99780933897471e-08,4.45366610587602e-06,0,0,0,6.27427430542163e-07,2.86567268154342e-06,0,0,9.53315573252364e-23,3.62581297976796e-22,7.44867121015864e-24,0,1.61685722984106e-07,0,1.76343553994616e-22,0,3.34814162449686e-24,3.28686333224385e-22,0,0,0,0,0,1.27750588775261e-27,1.03004149939738e-22,7.48331283406249e-24,0,4.10859885184298e-23,2.64127250904183e-24,0,1.06395506529634e-07,0,5.47662763980475e-08,0,1.67285236655582e-06,0,2.91502270279316e-22,1.38029165320945e-23,6.53678581081062e-06,0,0,0,0,0,9.29116815783837e-22,5.98851058425039e-23,0,0,0,3.10573065534328e-07,0,1.19552263847256e-22,2.88007300248129e-09,0,0,8.27815426312728e-06,0,2.87764353498477e-23,0,2.99242279534705e-23,1.37582399946255e-07,7.01280768315458e-23,1.37582399946255e-07
"TCGA-Q1-A73P-01A-11R-A32P-07",1.67153300833252e-23,0,1.08857257737918e-21,8.08292665819605e-08,1.88740874619892e-06,0,0,0,0,5.00550895544324e-06,0,0,9.97772176639587e-23,0,1.88648381717278e-24,0,2.89624292637099e-07,0,3.61501068664821e-23,9.56834637989853e-23,1.35950551975871e-22,0,5.05177407805709e-22,2.49612162877792e-23,0,1.81561481056264e-22,0,4.33138566848093e-22,0,0,0,0,0,3.04502275692584e-25,6.49119387600579e-22,3.27257330436828e-24,0,0,8.03601668620269e-07,7.08544852885682e-22,2.42593212738355e-23,0,1.36503018677627e-21,9.72932981866657e-23,0,2.62500693175737e-23,0,0,0,0,0,2.12105251444876e-23,0,8.94660770534522e-08,2.2588839914585e-22,2.42591199096213e-21,0,0,4.72902135498908e-22,5.40745783444034e-05,2.08592255798353e-23,0,0,0,5.38861777213075e-08,6.79752759879353e-23,5.38861777213076e-08
"TCGA-EA-A3Y4-01A-51R-A24H-07",0,1.61590984148427e-23,3.01242832957278e-21,4.0228984437951e-24,6.19456599578971e-06,8.22974551970664e-23,0,4.82721562149942e-22,5.4477486505095e-07,4.43115290523019e-06,9.24346565034525e-23,6.2969276881917e-23,0,1.87616873111908e-21,5.15937913143244e-23,0,5.43604407460589e-08,2.84098407005179e-23,2.70326425328624e-22,0,0,5.83050941332651e-22,2.98261211923493e-24,1.91384341092902e-22,0,0,3.17870810073754e-22,0,0,1.39230696978063e-23,0,0,1.2398282704173e-24,0,0,0,2.03080821702254e-24,1.47222682850503e-23,4.84920673289625e-07,0,0,3.26695252072843e-22,1.60420917668188e-05,2.85809817110972e-22,7.142177671044e-25,0,0,0,0,3.6487797693476e-07,0,0,0,8.37074037746997e-08,0,0,9.3042624079474e-24,0,0,3.08227016410882e-05,4.53338874457442e-23,1.10472326670943e-22,1.32053764189509e-22,5.37717399606398e-22,7.5517645253887e-22,8.07954920742137e-24,7.63256001746292e-22
"TCGA-EA-A439-01A-11R-A24H-07",0,3.47379605104446e-22,1.14536981879827e-20,0,1.85394615444435e-06,1.83661986570534e-23,3.16138848208509e-23,7.06609927820729e-23,3.6117917533315e-23,9.84940244779623e-07,2.11827876449067e-23,0,2.98972455179309e-22,0,0,0,0,0,0,0,0,8.44274731001577e-23,0,0,0,3.08339943555983e-22,5.79944698051634e-22,1.79714166740354e-22,5.48780913771744e-24,0,0,0,9.97153957258933e-23,0,0,0,8.70160328826009e-22,0,2.07588607632991e-07,2.49193535001401e-23,5.43809914663634e-22,7.75216800546419e-23,3.14393574934194e-21,0,4.37651151453116e-22,0,0,8.96764284636804e-22,3.51658850293184e-22,3.04474255878312e-22,2.11476745972479e-21,0,0,1.4409881482486e-07,9.82344748395165e-23,1.16551580853388e-21,1.02463249194399e-26,0,0,9.65163122267221e-05,8.39899755696197e-23,0,9.0613389348093e-23,4.28984753790247e-23,1.29821434365057e-21,1.73689802552223e-22,1.47190414620279e-21
