Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-CQ-6221-01A-11R-2081-07,0,0.00665778314526171,0.00235515890567489,0.00144935599852679,0,0.0113289741768108,0.00343077356380344,0.0150820216766094,0.0114261835147873,0,0.016974548163564,0.00953487918506993,0,0.624376118387295,0.0123739917141996,0.236473852859768,0,0,0,0.0485363587086293,0,0,0,0.906634408059271,0.442143861417565
TCGA-IQ-7631-01A-11R-2081-07,0,0,0.0105208758136067,0.0108234481129481,0,0,0,0.0041257683254376,0.0261605895437263,0,0,0.0139722488791355,0,0.838222910447024,0.0098674410543499,0.0107350253147894,0,0,0.075571692508982,0,0,0,0,0.906681281922312,0.427839191306893
TCGA-CV-7406-01A-11R-2081-07,0,0.0797835969420022,0.0484271091886043,0.0317036374893517,0,0.00461165267512543,0,0.055199066941359,0.034186774476762,0,0.0193353757805253,0,0.00773019807271223,0.325317485567616,0.011448788352925,0.0265849061272292,0.128489213276061,0,0.157489905023106,0.0470754008304853,0,0.0226168892561361,0,0.461216808599323,0.888078436693572
TCGA-DQ-7589-01A-11R-2232-07,0,0,0.189122498543248,0.0662892467760875,0,0.0980402408353492,0,0.0107318167138548,0.0452674780937492,0,0.0344593101303827,0,0.20913527548397,0.105469739542624,0.0403255839780527,0,0.0674394344483218,0,0,0.13371937545436,0,0,0.13,0.18522421514774,0.997284197906367
TCGA-CN-6021-01A-11R-1686-07,0,0.0184745799998942,0.605946897763604,0.0757967574113627,0,0.00237090860878858,0.000610256004496198,0.0375983028192634,0.0183800989290096,0,0.01582081057386,0,0.00135442797458467,0,0,0.0857662345317231,0.0136869542293609,0.0402079663128352,0.0277815004699416,0.00563957425366958,0,0.0505647301176066,0,0.682511746256025,0.759864120668018
TCGA-CN-4741-01A-01R-1436-07,0,0.00744263117740209,0.157620877974221,0.111534102239994,0,0.0615802587416206,0,0.0874259445749633,0.0767007113065755,0,0,0.0217464845881477,0.155394553820865,0.0715141284365511,0.0489702980613794,0,0.0884031692655363,0.0151140785173636,0.0965527612953807,0,0,0,0.02,0.272492259028067,0.964545676041432
TCGA-F7-A620-01A-11R-A28V-07,0,0.0111395842825651,0.523859860618733,0.0564072570232889,0,0,0.0317196188406489,0.0522207962002104,0,0.0100253167956813,0.0312951667114029,0.00513189138818335,0.0174827447102214,0.020079443034815,0.146030162034914,0,0.0124084870685571,0.00470266940458597,0.0730433006351916,0,0,0.00445370125100081,0,0.378702936734296,0.933297296777921
TCGA-CV-5431-01A-01R-1514-07,0.00449272038771642,0,0.810145109094424,0.0588451934264997,0,0,0.00066519199113106,0.0412716137448763,0,0,0,0.00428071305826569,0,0.000835574781061978,0.0226121658311381,0.00650725105455924,0.00966570605683248,0,0.0152938511788217,0,0,0.025384909394673,0,0.924797472427905,0.497499429479307
TCGA-CV-7424-01A-11R-2081-07,0,0,0.884468174687413,0.0442395028405091,0.000510691591526289,0,0,0.0106380736401876,0,0.00305492367500014,0,0.00133933035997958,0,0,0.00757980004971704,0.0274599480117651,0,0.00127855254482206,0,0.00040525994706718,0,0.0190257426520124,0,0.976796476545211,0.393963052363788
TCGA-CN-4737-01A-01R-1436-07,0,0.0103784927816505,0.122797247583038,0.0174869909275238,0,0.0190831885346191,0,0.0559448131338408,0.0357062012673146,0,0.0158727936703623,0,0,0.449067061595993,0.0157382428029371,0.0426479648633718,0.0301250062669936,0.0349300055929832,0.101529878975312,0,0,0.0486921120040598,0,0.444918954255721,0.899961318614615
