Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-EK-A2PI-01A-11R-A18M-07,0,0.0927164646640185,0.0962861922438244,0,0.216113892068536,0,0,0.0809570223756667,0,0,0,0.111617913164231,0.053435352014895,0.0504026277111871,0.0124736023299144,0.153488992484645,0.0305128066753615,0.0335278640068803,0.0259350218352478,0,0.0425322484255926,0,0.89,-0.0286030469742939,1.08947537391833
TCGA-MY-A5BD-01A-11R-A26T-07,0,0,0.436166825709964,0,0,0.0448507535945484,0,0.0703138947374913,0.00998803073275409,0.0369473071267423,0.0857311231371103,0,0,0.0264288044707852,0.00293736034880886,0.0461074002227238,0.0496583801658541,0.0530753478771938,0.126249561672987,0,0.000797628968859813,0.0107475812341763,0.79,6.34369151844968e-05,1.07843783013061
TCGA-HM-A3JK-01A-11R-A32Y-07,0,0.0235024786021135,0.428130846752475,0.0377882544850781,0,0.0531889499904166,0,0,0.0285030724281422,0,0.0200823084242687,0,0,0.11537275166572,0.0429561487196776,0.167391561977529,0.028406156572355,0,0.0336208942255725,0,0,0.021056576156651,0,0.675609881496965,0.780604117470346
TCGA-HM-A3JJ-01A-21R-A21T-07,0,0,0.439879423726979,0.0462806752240948,0,0.072453524281314,0.00835064675997719,0.0193716177074949,0.00741299922026772,0,0.000958057837503412,0.0312222441883744,0,0,0.141148719462601,0.0884382311783811,0.0480730880249654,0.0231302691095842,0.0695370671381558,0,0,0.00374343614030709,0,0.573352290374069,0.825968512387015
TCGA-C5-A2LT-01A-11R-A18M-07,0,0.0226417837109622,0.298473541456253,0.14494168858928,0,0.177948721734308,0.00372771930263603,0.0291673510353744,0,0,0.1172703022437,0,0,0.000505780021838835,0.0196069139745102,0.0702944165657197,0.0256785442762651,0.0431692847246452,0,0.0322451312461841,0.0122050258680395,0.00212379525028393,0.02,0.365367684909684,0.933227983242762
TCGA-DS-A0VN-01A-21R-A10U-07,0,0.0318518089385847,0.136073754436104,0.149654114973854,0,0.200662053312732,0.0103685609489341,0.0487421940089844,0,0,0.100617282827626,0.00119926479060481,0,0.0386115001607772,0.166249543572124,0.0669108273982298,0.0297365790187317,0,0,0,0,0.0193225156127133,0,0.577518839044465,0.817391729102883
TCGA-EK-A2RB-01A-11R-A18M-07,0,0.0258721737625796,0.0461937837615173,0.137955547356158,0,0.0891326748690098,0.0681164232582024,0.0401140623383396,0.0398349939322045,0,0.08734362105909,0.0370461681294218,0.1341778452236,0.00583088358668311,0.00487651790651513,0.035845454202939,0,0.143069211897973,0.0785232368867814,0,0,0.0260674018289856,0.04,0.290063266562474,0.966495743312522
TCGA-R2-A69V-01A-11R-A32P-07,0,0.00235432342058113,0.274865100288008,0.202658369541857,0,0.00911538094633016,0.0151825646741922,0.0445591409842095,0,0,0.0642883578564787,0,0.00517493289067126,0,0.134334957310681,0.157149282080689,0.0403687278283655,0.00209367893164297,0.0386007908956487,0,0,0.00925439235064579,0,0.751346409730268,0.727480168770052
TCGA-JW-A5VH-01A-11R-A28H-07,0,0,0.124617802026079,0,0,0.145673724135331,0,0.0483879785962422,0.0193210627613486,0,0.102258310295982,0,0,0.206155854445674,0.00669438453832232,0.227420640166345,0.00557377731557784,0.00100402232184662,0,0.0789800875228829,0.010681298247155,0.0232310576272122,0.66,0.0197552945728097,1.09016587770252
TCGA-C5-A3HF-01A-11R-A213-07,0,0,0.738266354141248,0.0307209577075607,0,0.0778054623025839,0,0,0.0312814773574598,0,0.00186109801044655,0.0117177970162439,0,0.00824034884864374,0.0247154786695854,0.0284048670735648,0.00212880637689267,0,0,0.00301424620366564,0.0237172421894081,0.018125864102697,0,0.795493241900045,0.652666472098715
