Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-VS-A8EG-01A-11R-A36F-07,0,0,0.409172379693935,0,0,0.140362288483252,0,0.0266497483539955,0.0124442821416109,0,0.089612228551871,0,0,0,0.00987411209887907,0.135289497455095,0,0.0622847196630332,0.0755758403349053,0,0,0.038734903223424,0.15,0.14191001060764,1.02206164153592
TCGA-HM-A6W2-01A-21R-A33Z-07,0.00138267945128855,0,0.417636107014204,0.0715989122369226,0,0.0242351260938168,0.174095831723527,0,0,0,0.0271830021727345,0.0033570245234742,0,0,0.0139431520346277,0.251300567473488,0,0,0,0,0.00743673327611586,0.00783086399979999,0.05,0.264982092365256,0.977515590219061
TCGA-DG-A2KM-01A-11R-A180-07,0,0.0123705166518926,0.532215356226237,0.162628519653014,0,0.0277242394069474,0.0500958600445784,0.00896782471897696,0,0,0.0688026081847853,0,0,0.0234051823874221,0.0343642751808092,0.0709530021670991,0.00582942516081585,0,0,0,0,0.0026431902174225,0,0.799700313504827,0.679561311191569
TCGA-EK-A2PK-01A-11R-A18M-07,0,0,0.874550508536217,0.043783042741085,0.0151208089296855,0,0,0,0,0.00591823788523629,0,0.022819921399518,0,0,0,0.00112880327244966,0,0.0112237124825324,0.00446884607406561,0,0,0.0209861186792109,0,0.973329754784686,0.402605009391548
TCGA-C5-A1MP-01A-11R-A14Y-07,0.000822221046175928,0,0.59377097572217,0.052279050504354,0,0.0717795576038852,0,0,0.00251987901313295,0,0.0033355574477602,0.0145712551029097,0.00521759995316436,0,0.0332584552128565,0.0937210396923101,0.0811150069398119,0,0.0320364539849339,0,0,0.0155729477765356,0,0.885971529414312,0.621772575738698
TCGA-C5-A3HL-01A-11R-A213-07,0,0,0.164312566965298,0.0793829862531166,0,0.165408487947073,0,0.0114487690843431,0,0,0.0487028176429259,0.0343182026722382,0.084899449514804,0.0635361322384949,0.133570945237091,0.0485454069495932,0.0598162230072135,0.00589779152971956,0.0912988263448879,0,0,0.00886139461320049,0.12,0.16850168388398,1.0126859461955
TCGA-JW-A5VG-01A-11R-A28H-07,0,0.00177475173313119,0.0194289085761701,0.0564023477200259,0,0.235649632351205,0,0.00692649207759118,0,0.000694283072570746,0.11138899182479,0.0380108013325313,0,0,0.0619197474855853,0.112678779410537,0,0.239141606080439,0.115983658335424,0,0,0,0.01,0.447465936872815,0.896587405568221
TCGA-EA-A5O9-01A-11R-A28H-07,0,0.153397804014585,0.100600103528173,0.0138450075892207,0,0.221872568754764,0.0291170331754699,0.094151342156576,0,0,0.0799226549852295,0,0.0583412105340246,0.000818361028326146,0.047410270959663,0.00987867100072208,0.00722088158897518,0.138152621330476,0,0,0.0294568428311487,0.0158146265226465,0.05,0.257017785359942,0.979970601911949
TCGA-EX-A8YF-01A-11R-A37O-07,0,0,0.820418201833745,0.0728758767949594,0,0,0,0.0247512392052651,0,0,0,0.00933597930687241,0,0,0.00607477025445968,0.0291484957160089,0,0.0136384903695679,0,0,0,0.023756946519122,0,0.961659046587102,0.445744071615849
TCGA-VS-A9V3-01A-11R-A42T-07,0,0.00705643979190669,0.779229713152042,0.0288312696205329,0,0.0114298676317967,0,0.0154403795560784,0.00201099238223738,0,0.016514340217378,0,0,0,0.031613572291692,0.0530281965485392,0,0.0403788577129359,0,0,0,0.0144663710948607,0,0.91169471979091,0.523633560447204
