"ENSEMBL","SYMBOL"
"ENSG00000165376","CLDN2"
"ENSG00000184434","LRRC19"
"ENSG00000134193","REG4"
"ENSG00000074276","CDHR2"
"ENSG00000114455","HHLA2"
"ENSG00000249464","LINC01091"
"ENSG00000166866","MYO1A"
"ENSG00000226145",NA
"ENSG00000079112","CDH17"
"ENSG00000172367","NHERF4"
