"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"ENPP4","ENSG00000001561.7","Upregulated",278.688729409961,1.53308280361054,1.90261226324666e-08,3.31813802642761e-07
"LINC00842","ENSG00000285294.1","Downregulated",13.1072645402054,-1.77667494614157,1.91889192967332e-08,3.34262922854283e-07
"CYP26B1","ENSG00000003137.8","Downregulated",2002.99625265875,-1.47728202707684,1.93525423813384e-08,3.36871768816395e-07
"AC025062.1","ENSG00000244593.1","Upregulated",2.80077107078294,1.61728587277259,1.94560657913494e-08,3.38325025383954e-07
"WNT5A","ENSG00000114251.15","Downregulated",5260.21691518762,-1.26932194472794,1.97711242470202e-08,3.43603747669726e-07
"MT1E","ENSG00000169715.15","Downregulated",3185.51222087125,-1.65769833058753,1.98290420082736e-08,3.44410066072815e-07
"AC107952.2","ENSG00000272343.1","Upregulated",6.14801414615376,1.36973250051392,1.98642378924645e-08,3.44821021534001e-07
"REPS2","ENSG00000169891.18","Upregulated",389.895381022287,1.02684241937965,1.99699653886991e-08,3.4620286525613e-07
"SPTLC3","ENSG00000172296.13","Downregulated",965.57606986241,-1.68677446889693,1.99785876678317e-08,3.4620286525613e-07
"RPS10P28","ENSG00000243167.1","Upregulated",2.27689841653591,1.40667581483663,2.02414667596063e-08,3.50352011799741e-07
"TNS1-AS1","ENSG00000223923.2","Upregulated",9.90523692407531,2.19948007785332,2.04835073821494e-08,3.54336228395377e-07
"FAM25G","ENSG00000189090.7","Downregulated",2.54015412440923,-3.24263518882737,2.05088690276924e-08,3.54569758806119e-07
"POU6F2","ENSG00000106536.21","Downregulated",124.394994019641,-3.17638414639218,2.05971729726628e-08,3.55890574854819e-07
"AP003559.1","ENSG00000256443.1","Downregulated",19.6423000429808,-1.54245310602079,2.06102948739621e-08,3.55911573872025e-07
"TREM2","ENSG00000095970.17","Downregulated",803.423714518326,-1.35362968816617,2.06502086778979e-08,3.56274589518603e-07
"LINC01726","ENSG00000280350.1","Upregulated",4.73350665104792,3.41027409610429,2.06551540089569e-08,3.56274589518603e-07
"PTPRD","ENSG00000153707.17","Downregulated",755.870166453499,-2.02394466958811,2.07830663331433e-08,3.58183304846854e-07
"AC023906.2","ENSG00000259178.1","Downregulated",34.0384647640108,-1.71199570649936,2.07897776632307e-08,3.58183304846854e-07
"PAK3","ENSG00000077264.15","Upregulated",71.5032581428434,1.9942814205767,2.0805239479222e-08,3.58243213429093e-07
"OR2L2","ENSG00000203663.4","Downregulated",4.86232042024708,-3.56419890275639,2.11441293315396e-08,3.62824520079439e-07
"AC107884.1","ENSG00000251364.7","Upregulated",57.6659556644703,1.28190468746087,2.13137252225679e-08,3.65524884884107e-07
"LINC01237","ENSG00000233806.7","Upregulated",7.81257697224404,1.37443552301656,2.13898291512307e-08,3.66619709282448e-07
"HTR1D","ENSG00000179546.4","Downregulated",53.5349640963352,-1.79599987968493,2.15319245426618e-08,3.68843718297563e-07
"WNK4","ENSG00000126562.17","Upregulated",54.3264361408265,1.95161426730587,2.16520081494541e-08,3.70688331960757e-07
"HOXA-AS3","ENSG00000254369.6","Upregulated",13.563574199975,1.61939567421124,2.17832359909388e-08,3.72508289611638e-07
"KATNAL2","ENSG00000167216.17","Upregulated",81.4419234935612,1.5052132584111,2.20266207020283e-08,3.76454971998301e-07
