"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"GRAMD1C","ENSG00000178075.20","Higher in HPV-positive",291.8,1.184,3.65e-09,7.74e-08
"MFAP2","ENSG00000117122.14","Higher in HPV-negative",2425.23,-1.187,3.73e-09,7.9e-08
"NLRX1","ENSG00000160703.16","Higher in HPV-negative",3097.49,-1.007,3.78e-09,7.99e-08
"AL138689.1","ENSG00000274204.1","Higher in HPV-negative",10.4,-1.718,3.83e-09,8.09e-08
"FAM43B","ENSG00000183114.8","Higher in HPV-negative",41.69,-1.891,3.86e-09,8.13e-08
"AC006538.4","ENSG00000286460.1","Higher in HPV-negative",10.26,-3.313,3.89e-09,8.18e-08
"AC134312.5","ENSG00000261327.5","Higher in HPV-negative",100.62,-1.654,3.98e-09,8.37e-08
"AL160171.1","ENSG00000285923.1","Higher in HPV-positive",3.54,1.487,3.98e-09,8.37e-08
"AHNAK2","ENSG00000185567.7","Higher in HPV-negative",32458.4,-1.253,4e-09,8.41e-08
"KCNF1","ENSG00000162975.5","Higher in HPV-negative",36.68,-1.853,4.01e-09,8.42e-08
"SPINK6","ENSG00000178172.7","Higher in HPV-negative",519.54,-3.265,4.01e-09,8.42e-08
"CDH13","ENSG00000140945.17","Higher in HPV-negative",2328.85,-1.309,4.11e-09,8.62e-08
"EGOT","ENSG00000235947.1","Higher in HPV-positive",13.74,1.549,4.13e-09,8.64e-08
"AP000696.1","ENSG00000231324.1","Higher in HPV-positive",5.69,3.165,4.14e-09,8.67e-08
"GLS2","ENSG00000135423.13","Higher in HPV-positive",7.74,1.846,4.21e-09,8.79e-08
"DDX12P","ENSG00000214826.5","Higher in HPV-positive",149.84,1.243,4.22e-09,8.79e-08
"SORCS2","ENSG00000184985.16","Higher in HPV-negative",1374.86,-1.578,4.38e-09,9.11e-08
"LINC01529","ENSG00000225872.4","Higher in HPV-positive",6.97,1.917,4.45e-09,9.23e-08
"AC022893.2","ENSG00000260838.3","Higher in HPV-positive",7.82,3.614,4.51e-09,9.34e-08
"SIRPA","ENSG00000198053.12","Higher in HPV-negative",6688.41,-1,4.65e-09,9.61e-08
"HMGB3P22","ENSG00000225051.5","Higher in HPV-positive",4.09,1.514,4.66e-09,9.62e-08
"OR8T1P","ENSG00000226413.2","Higher in HPV-positive",2.67,1.677,4.68e-09,9.65e-08
"LCE6A","ENSG00000235942.3","Higher in HPV-negative",44.78,-4.46,4.68e-09,9.65e-08
"AC024940.1","ENSG00000177359.20","Higher in HPV-positive",132.02,2.332,4.69e-09,9.66e-08
"NUP210","ENSG00000132182.12","Higher in HPV-positive",4522.39,1.482,4.84e-09,9.94e-08
"AC100854.1","ENSG00000254352.1","Higher in HPV-positive",6.36,1.294,4.85e-09,9.96e-08
"LINC01018","ENSG00000250056.8","Higher in HPV-positive",51.72,2.23,4.87e-09,9.98e-08
"AC090023.2","ENSG00000256915.2","Higher in HPV-negative",4.23,-2.59,4.87e-09,9.99e-08
"AL121839.2","ENSG00000260711.2","Higher in HPV-positive",61.83,1.548,4.95e-09,1.01e-07
"OLMALINC","ENSG00000235823.3","Higher in HPV-positive",276.41,1.008,4.97e-09,1.02e-07
"ITGA2B","ENSG00000005961.19","Higher in HPV-positive",65.41,1.286,4.98e-09,1.02e-07
"AL049874.3","ENSG00000258670.1","Higher in HPV-positive",8.89,3.229,5.05e-09,1.03e-07
"LGALS1","ENSG00000100097.12","Higher in HPV-negative",22920.79,-1.22,5.16e-09,1.05e-07
"DOC2GP","ENSG00000231793.5","Higher in HPV-positive",17.29,1.905,5.16e-09,1.05e-07
"SLC16A8","ENSG00000100156.10","Higher in HPV-positive",43.88,1.668,5.27e-09,1.08e-07
"C16orf96","ENSG00000205832.7","Higher in HPV-positive",9.15,1.703,5.37e-09,1.09e-07
"ZNF300","ENSG00000145908.12","Higher in HPV-positive",235.86,1.282,5.47e-09,1.11e-07
"AC008434.1","ENSG00000249655.1","Higher in HPV-positive",1.47,1.734,5.47e-09,1.11e-07
"RN7SL535P","ENSG00000239419.3","Higher in HPV-positive",2.39,1.689,5.51e-09,1.12e-07
"SEMA6A-AS2","ENSG00000249167.2","Higher in HPV-positive",5.38,1.702,5.61e-09,1.14e-07
"NPHS1","ENSG00000161270.20","Higher in HPV-positive",14.28,2.855,5.63e-09,1.14e-07
"TG","ENSG00000042832.12","Higher in HPV-positive",185.56,1.928,5.71e-09,1.16e-07
"AC104964.3","ENSG00000272505.1","Higher in HPV-positive",8.53,1.819,5.8e-09,1.17e-07
"AC093627.4","ENSG00000240859.3","Higher in HPV-positive",112.36,1.479,5.92e-09,1.19e-07
"ASB16","ENSG00000161664.7","Higher in HPV-positive",44.4,1.335,5.95e-09,1.2e-07
"AC126177.5","ENSG00000257951.2","Higher in HPV-positive",9.63,2.681,6e-09,1.21e-07
"GRIA3","ENSG00000125675.18","Higher in HPV-negative",123.19,-1.993,6.05e-09,1.22e-07
"AF186192.2","ENSG00000255085.8","Higher in HPV-positive",4.9,1.971,6.22e-09,1.25e-07
"CLCN3P1","ENSG00000232000.3","Higher in HPV-negative",75.91,-1.323,6.28e-09,1.26e-07
"AC011676.5","ENSG00000280035.1","Higher in HPV-positive",3.34,1.728,6.38e-09,1.27e-07
"LINC02802","ENSG00000232527.8","Higher in HPV-negative",16.07,-1.701,6.4e-09,1.28e-07
"AC121757.2","ENSG00000287051.1","Higher in HPV-positive",23.94,1.994,6.42e-09,1.28e-07
"ZNF471","ENSG00000196263.8","Higher in HPV-positive",84.8,1.614,6.84e-09,1.35e-07
"AL592295.3","ENSG00000283360.1","Higher in HPV-positive",3.11,1.734,6.91e-09,1.37e-07
"DMC1","ENSG00000100206.10","Higher in HPV-positive",83.81,1.37,7.05e-09,1.39e-07
"AL713868.1","ENSG00000287921.1","Higher in HPV-negative",1.74,-3.319,7.11e-09,1.4e-07
"IKZF3","ENSG00000161405.17","Higher in HPV-positive",1063.24,1.669,7.14e-09,1.41e-07
"EYA2","ENSG00000064655.19","Higher in HPV-positive",1072.87,2.004,7.33e-09,1.44e-07
"COL2A1","ENSG00000139219.19","Higher in HPV-negative",118.19,-1.99,7.44e-09,1.46e-07
"B4GALT6","ENSG00000118276.11","Higher in HPV-positive",235.02,1.226,7.48e-09,1.47e-07
"AL035701.1","ENSG00000231769.3","Higher in HPV-positive",3.11,2.575,7.5e-09,1.47e-07
"LIFR-AS1","ENSG00000244968.7","Higher in HPV-positive",20.17,1.678,7.52e-09,1.47e-07
"PGLYRP4","ENSG00000163218.15","Higher in HPV-negative",994.75,-1.844,7.54e-09,1.48e-07
"BDKRB1","ENSG00000100739.11","Higher in HPV-negative",267.87,-1.316,7.77e-09,1.52e-07
"AC010198.2","ENSG00000285517.1","Higher in HPV-negative",116.27,-1.49,7.78e-09,1.52e-07
"GALNT17","ENSG00000185274.12","Higher in HPV-positive",198.6,1.745,7.84e-09,1.53e-07
"IGFL1","ENSG00000188293.6","Higher in HPV-negative",1658.45,-2.569,8.06e-09,1.57e-07
"NOCT","ENSG00000151014.6","Higher in HPV-negative",1092.78,-1.077,8.2e-09,1.59e-07
"EREG","ENSG00000124882.4","Higher in HPV-negative",2383.97,-2.412,8.63e-09,1.67e-07
"MFAP5","ENSG00000197614.11","Higher in HPV-negative",2335.23,-1.974,9.1e-09,1.76e-07
"KLK6","ENSG00000167755.15","Higher in HPV-negative",2842.7,-2.361,9.18e-09,1.77e-07
"AP001790.1","ENSG00000250390.2","Higher in HPV-negative",9.16,-2.321,9.39e-09,1.81e-07
"NKX2-4","ENSG00000125816.5","Higher in HPV-positive",11.55,5.879,9.41e-09,1.81e-07
"LINC01611","ENSG00000231776.5","Higher in HPV-negative",5.13,-4.594,9.45e-09,1.82e-07
"AC012435.2","ENSG00000260103.2","Higher in HPV-positive",1.8,1.736,9.64e-09,1.85e-07
"WFDC12","ENSG00000168703.5","Higher in HPV-negative",797.31,-2.933,1e-08,1.92e-07
"CALB1","ENSG00000104327.7","Higher in HPV-negative",1796.51,-3.414,1.01e-08,1.93e-07
