"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"STAG3","ENSG00000066923.17","Higher in HPV-positive",341.97,4.816,3.37e-93,1.01e-88
"AC019171.1","ENSG00000269210.2","Higher in HPV-positive",6.47,5.429,9.61e-85,1.44e-80
"ZFR2","ENSG00000105278.12","Higher in HPV-positive",82.58,6.882,2.41e-83,2.41e-79
"SMC1B","ENSG00000077935.17","Higher in HPV-positive",185.46,6.174,4.66e-83,3.48e-79
"TAF7L","ENSG00000102387.16","Higher in HPV-positive",62.95,5.732,1.58e-80,9.46e-77
"SYCP2","ENSG00000196074.13","Higher in HPV-positive",425.08,4.98,3.49e-69,1.74e-65
"RAD9B","ENSG00000151164.19","Higher in HPV-positive",48.25,2.765,1.26e-68,5.4e-65
"TDRD10","ENSG00000163239.12","Higher in HPV-positive",56.03,4.796,3.45e-67,1.29e-63
"ABCA17P","ENSG00000238098.9","Higher in HPV-positive",67.29,5.03,7.98e-57,2.65e-53
"C8G","ENSG00000176919.13","Higher in HPV-positive",62.16,4.167,6.51e-56,1.95e-52
"GRIN2C","ENSG00000161509.14","Higher in HPV-positive",60.13,3.03,5.72e-54,1.55e-50
"GBX1","ENSG00000164900.4","Higher in HPV-positive",10.87,6.679,4.39e-53,1.09e-49
"PRDM15","ENSG00000141956.14","Higher in HPV-positive",724.85,1.259,6.63e-53,1.53e-49
"UPB1","ENSG00000100024.15","Higher in HPV-positive",46.32,4.804,3.83e-52,8.18e-49
"NEFH","ENSG00000100285.10","Higher in HPV-positive",318.01,5.108,5.56e-50,1.11e-46
"CNTD1","ENSG00000176563.10","Higher in HPV-positive",34.05,2.983,1.35e-47,2.52e-44
"RPA2","ENSG00000117748.10","Higher in HPV-positive",2623.73,1.213,2.24e-46,3.94e-43
"TDRD9","ENSG00000156414.19","Higher in HPV-positive",107.02,4.623,8.02e-45,1.33e-41
"SHCBP1L","ENSG00000157060.16","Higher in HPV-positive",13.65,6.821,1.5e-44,2.36e-41
"SOX30","ENSG00000039600.11","Higher in HPV-positive",82.88,4.13,2.22e-44,3.32e-41
"MAJIN","ENSG00000168070.12","Higher in HPV-positive",12.48,4.877,4.9e-44,6.98e-41
"RORB","ENSG00000198963.11","Higher in HPV-positive",273.16,4.76,2.46e-43,3.34e-40
"FOXRED2","ENSG00000100350.15","Higher in HPV-positive",2763.42,1.922,1.71e-41,2.22e-38
"ZNF541","ENSG00000118156.12","Higher in HPV-positive",139,4.821,9.24e-41,1.15e-37
"C19orf57","ENSG00000132016.11","Higher in HPV-positive",274.05,2.272,5.31e-39,6.35e-36
"SYCE2","ENSG00000161860.8","Higher in HPV-positive",22.01,2.695,1.56e-38,1.79e-35
"KLHL35","ENSG00000149243.16","Higher in HPV-positive",120.96,3.316,2.35e-37,2.6e-34
"KEL","ENSG00000197993.9","Higher in HPV-positive",112.19,5.321,9.83e-37,1.05e-33
"RIBC2","ENSG00000128408.9","Higher in HPV-positive",168.86,2.704,1.2e-35,1.23e-32
"CEACAMP5","ENSG00000231561.2","Higher in HPV-positive",2.91,4.932,1.75e-35,1.75e-32
"BTNL9","ENSG00000165810.17","Higher in HPV-positive",324.08,4.411,2.08e-35,2.01e-32
"MEI1","ENSG00000167077.13","Higher in HPV-positive",356.29,3.331,1.03e-34,9.62e-32
"C1QTNF4","ENSG00000172247.4","Higher in HPV-positive",12.95,3.939,2.76e-34,2.5e-31
"ARHGEF33","ENSG00000214694.12","Higher in HPV-positive",25.61,3.116,2.42e-33,2.13e-30
"DHFR","ENSG00000228716.7","Higher in HPV-positive",938.35,1.563,5.37e-33,4.59e-30
"MIR9-3HG","ENSG00000255571.9","Higher in HPV-positive",486.95,3.497,1.32e-32,1.1e-29
"LIG1","ENSG00000105486.14","Higher in HPV-positive",2285.06,1.252,1.67e-32,1.35e-29
"ADORA2A-AS1","ENSG00000178803.12","Higher in HPV-positive",16.25,3.458,2.38e-31,1.87e-28
"AC069499.1","ENSG00000241634.1","Higher in HPV-positive",21.78,2.332,2.72e-31,2.09e-28
"CDKN2C","ENSG00000123080.12","Higher in HPV-positive",1272.93,2.109,7.66e-31,5.73e-28
"SYNGR3","ENSG00000127561.15","Higher in HPV-positive",249.94,2.923,1e-30,7.3e-28
"LINC01305","ENSG00000231453.1","Higher in HPV-positive",45.54,4.631,8.81e-30,6.27e-27
"DDX25","ENSG00000109832.14","Higher in HPV-positive",10.66,4.044,1.09e-29,7.55e-27
"LINC02700","ENSG00000255666.7","Higher in HPV-negative",52.12,-5.791,1.76e-29,1.2e-26
"ZNF620","ENSG00000177842.12","Higher in HPV-positive",65.23,1.913,3.28e-29,2.18e-26
"CYB5RL","ENSG00000215883.10","Higher in HPV-positive",234.72,1.456,7.81e-29,5.08e-26
"IL17REL","ENSG00000188263.10","Higher in HPV-positive",145.1,5.374,1.21e-28,7.69e-26
"AL021391.1","ENSG00000232363.1","Higher in HPV-positive",4,3.268,1.4e-28,8.69e-26
"IL17RB","ENSG00000056736.10","Higher in HPV-positive",132.32,1.886,1.66e-28,1.01e-25
"ZPBP2","ENSG00000186075.13","Higher in HPV-positive",9.51,6.065,2.57e-28,1.54e-25
"AJM1","ENSG00000232434.2","Higher in HPV-positive",183.24,1.861,3.13e-28,1.84e-25
"ZNF180","ENSG00000167384.10","Higher in HPV-positive",438.95,1.158,8.67e-28,4.98e-25
"A3GALT2","ENSG00000184389.9","Higher in HPV-positive",2.7,2.906,1.44e-27,8.11e-25
"AC104534.1","ENSG00000268756.1","Higher in HPV-positive",8.24,2.822,1.74e-27,9.64e-25
"KASH5","ENSG00000161609.10","Higher in HPV-positive",20.91,5.149,2.32e-27,1.26e-24
"GPR137C","ENSG00000180998.12","Higher in HPV-positive",63.7,1.97,2.99e-27,1.59e-24
"AC016876.1","ENSG00000233223.3","Higher in HPV-positive",244.57,1.602,4.6e-27,2.41e-24
"AC104794.3","ENSG00000260077.1","Higher in HPV-positive",121.25,1.689,9.54e-27,4.92e-24
"TCAM1P","ENSG00000240280.7","Higher in HPV-positive",81.73,4.438,1.54e-26,7.82e-24
"SLC35F3","ENSG00000183780.13","Higher in HPV-negative",238.09,-3.276,1.66e-26,8.29e-24
"CPEB1","ENSG00000214575.9","Higher in HPV-positive",33.84,2.897,2.19e-26,1.07e-23
"SLFN13","ENSG00000154760.14","Higher in HPV-positive",992.78,2.341,2.71e-26,1.31e-23
"FANCL","ENSG00000115392.12","Higher in HPV-positive",602.42,1.048,3.13e-26,1.46e-23
"PARM1","ENSG00000169116.11","Higher in HPV-positive",1722.13,2.923,4.52e-26,2.08e-23
"SLF1","ENSG00000133302.13","Higher in HPV-positive",455.26,1.05,4.98e-26,2.26e-23
"ABCA3","ENSG00000167972.14","Higher in HPV-positive",1249.16,3.324,1.15e-25,5.12e-23
"SHOC1","ENSG00000165181.16","Higher in HPV-positive",111.64,1.913,1.29e-25,5.65e-23
"RFPL1S","ENSG00000225465.9","Higher in HPV-positive",20.44,3.295,3.26e-25,1.41e-22
"E2F8","ENSG00000129173.13","Higher in HPV-positive",549.06,1.36,4.61e-25,1.97e-22
"LIPE","ENSG00000079435.10","Higher in HPV-positive",341.78,1.938,6.74e-25,2.84e-22
"FKBP9","ENSG00000122642.11","Higher in HPV-negative",10108.76,-1.207,7.1e-25,2.91e-22
"SLC3A2","ENSG00000168003.17","Higher in HPV-negative",24407.76,-1.391,7.04e-25,2.91e-22
"CLGN","ENSG00000153132.13","Higher in HPV-positive",149.83,4.016,1.09e-24,4.39e-22
"INPP5F","ENSG00000198825.15","Higher in HPV-positive",1482.66,1.032,1.15e-24,4.59e-22
"CRB2","ENSG00000148204.12","Higher in HPV-positive",100.19,4.326,2.09e-24,8.22e-22
"YPEL1","ENSG00000100027.17","Higher in HPV-positive",61.11,2.223,2.13e-24,8.28e-22
"ACBD7","ENSG00000176244.7","Higher in HPV-positive",108.28,2.878,2.52e-24,9.54e-22
"MEIOC","ENSG00000180336.18","Higher in HPV-positive",23.91,2.002,3.06e-24,1.14e-21
"FOLR3","ENSG00000110203.9","Higher in HPV-negative",162.65,-4.085,3.45e-24,1.25e-21
"AL033397.1","ENSG00000231683.6","Higher in HPV-negative",398.4,-6.888,3.47e-24,1.25e-21
"MCM5","ENSG00000100297.16","Higher in HPV-positive",7079.9,1.098,4.09e-24,1.46e-21
"RDH12","ENSG00000139988.10","Higher in HPV-negative",679.65,-4.08,4.22e-24,1.49e-21
"TRAF2","ENSG00000127191.18","Higher in HPV-positive",2002.77,1.227,5.23e-24,1.82e-21
"CCNE2","ENSG00000175305.17","Higher in HPV-positive",277.74,1.543,5.72e-24,1.96e-21
"CHPF","ENSG00000123989.14","Higher in HPV-negative",10601.51,-1.582,6.62e-24,2.25e-21
"MCM2","ENSG00000073111.14","Higher in HPV-positive",4614.13,1.438,1.03e-23,3.46e-21
"COL4A4","ENSG00000081052.13","Higher in HPV-positive",338.76,3.121,1.3e-23,4.31e-21
"GPAT2","ENSG00000186281.12","Higher in HPV-positive",109.6,3.181,1.41e-23,4.63e-21
"CENPK","ENSG00000123219.13","Higher in HPV-positive",434.21,1.468,2.6e-23,8.45e-21
"FAM81A","ENSG00000157470.12","Higher in HPV-positive",113.47,2.169,2.69e-23,8.65e-21
"LMNB1","ENSG00000113368.12","Higher in HPV-positive",3926.77,1.231,3.09e-23,9.84e-21
"MGAT3","ENSG00000128268.12","Higher in HPV-positive",653.14,3.131,4.16e-23,1.31e-20
"ZNF367","ENSG00000165244.7","Higher in HPV-positive",820.1,1.582,5.03e-23,1.57e-20
"AL831711.1","ENSG00000283317.1","Higher in HPV-positive",18.25,2.674,6.48e-23,1.98e-20
"IGFL2","ENSG00000204866.8","Higher in HPV-negative",659.22,-3.652,8.11e-23,2.45e-20
"EFNB3","ENSG00000108947.5","Higher in HPV-negative",281.27,-2.505,1.06e-22,3.17e-20
"GCK","ENSG00000106633.17","Higher in HPV-positive",45.19,3.078,1.32e-22,3.91e-20
"KLK5","ENSG00000167754.13","Higher in HPV-negative",6251.36,-4.226,1.57e-22,4.6e-20
"RAMP2-AS1","ENSG00000197291.9","Higher in HPV-positive",34.29,2.525,1.96e-22,5.7e-20
"LGI2","ENSG00000153012.12","Higher in HPV-positive",330.43,3.167,2.4e-22,6.89e-20
"TXNDC16","ENSG00000087301.9","Higher in HPV-positive",517.06,1.322,2.79e-22,7.95e-20
"WNK3","ENSG00000196632.10","Higher in HPV-positive",80.93,2.878,2.97e-22,8.38e-20
"E2F1","ENSG00000101412.13","Higher in HPV-positive",1263.17,1.529,3.58e-22,1e-19
"C14orf39","ENSG00000179008.9","Higher in HPV-positive",12.04,3.538,4.3e-22,1.19e-19
"VCAM1","ENSG00000162692.12","Higher in HPV-positive",2820.03,3.086,4.42e-22,1.21e-19
"SIM2","ENSG00000159263.16","Higher in HPV-positive",403.62,3.315,4.69e-22,1.27e-19
"TCIM","ENSG00000176907.5","Higher in HPV-positive",1182.44,2.7,5.37e-22,1.43e-19
"AL121929.2","ENSG00000273108.1","Higher in HPV-positive",23.81,2.53,5.37e-22,1.43e-19
"CDC7","ENSG00000097046.13","Higher in HPV-positive",651.09,1.204,6.9e-22,1.81e-19
"GRIN2A","ENSG00000183454.18","Higher in HPV-positive",212.7,4.112,7.37e-22,1.92e-19
"SLC7A5","ENSG00000103257.9","Higher in HPV-negative",43735.21,-1.912,7.63e-22,1.97e-19
"TCHHL1","ENSG00000182898.4","Higher in HPV-negative",50.42,-4.469,9.99e-22,2.55e-19
"WDR76","ENSG00000092470.12","Higher in HPV-positive",1081.67,1.329,1.08e-21,2.73e-19
"PAX1","ENSG00000125813.13","Higher in HPV-positive",581.47,4.697,1.13e-21,2.85e-19
"MYO3A","ENSG00000095777.17","Higher in HPV-positive",219.38,4.42,1.17e-21,2.91e-19
"TBR1","ENSG00000136535.15","Higher in HPV-positive",5.17,4.963,1.2e-21,2.95e-19
"ACTN1","ENSG00000072110.15","Higher in HPV-negative",34043.22,-1.546,1.56e-21,3.71e-19
"MMP17","ENSG00000198598.6","Higher in HPV-negative",444.5,-1.769,1.58e-21,3.71e-19
"DSCAML1","ENSG00000177103.15","Higher in HPV-positive",25.55,3.098,1.86e-21,4.3e-19
"LUARIS","ENSG00000231638.1","Higher in HPV-negative",58.21,-3.056,1.86e-21,4.3e-19
"CBFA2T2","ENSG00000078699.22","Higher in HPV-positive",2096.84,1.115,2.57e-21,5.91e-19
"AC007191.1","ENSG00000279407.1","Higher in HPV-positive",36.62,1.728,2.83e-21,6.45e-19
"BARD1","ENSG00000138376.11","Higher in HPV-positive",768.53,1.132,3.79e-21,8.58e-19
"CES1","ENSG00000198848.13","Higher in HPV-negative",4978.25,-5.138,4.04e-21,9.07e-19
"BRIP1","ENSG00000136492.9","Higher in HPV-positive",780,1.263,4.21e-21,9.4e-19
"IGFL3","ENSG00000188624.3","Higher in HPV-negative",168.39,-4.757,4.44e-21,9.83e-19
"MUCL1","ENSG00000172551.11","Higher in HPV-negative",412.95,-4.657,4.5e-21,9.9e-19
"CDH7","ENSG00000081138.14","Higher in HPV-positive",10.6,5.338,4.78e-21,1.04e-18
"MYO5A","ENSG00000197535.15","Higher in HPV-negative",5826.4,-1.383,4.99e-21,1.08e-18
"LINC02454","ENSG00000256268.2","Higher in HPV-negative",48.55,-3.235,5.43e-21,1.17e-18
"HELLS","ENSG00000119969.15","Higher in HPV-positive",1274.91,1.285,6.02e-21,1.29e-18
"ARHGAP26","ENSG00000145819.18","Higher in HPV-positive",1510.91,1.658,1.06e-20,2.22e-18
"SPRR4","ENSG00000184148.4","Higher in HPV-negative",622.31,-4.091,1.1e-20,2.28e-18
"COL4A6","ENSG00000197565.16","Higher in HPV-negative",2862.1,-2.768,1.1e-20,2.28e-18
"TMPO","ENSG00000120802.14","Higher in HPV-positive",6276.49,1.062,1.24e-20,2.55e-18
"RORB-AS1","ENSG00000224825.2","Higher in HPV-positive",2.92,4.755,1.31e-20,2.69e-18
"PIDD1","ENSG00000177595.18","Higher in HPV-positive",759.98,1.117,1.39e-20,2.8e-18
"AC046185.3","ENSG00000279369.1","Higher in HPV-positive",109.04,1.811,1.39e-20,2.8e-18
"AL807752.1","ENSG00000213590.2","Higher in HPV-positive",10.68,1.908,1.44e-20,2.89e-18
"ENPP6","ENSG00000164303.11","Higher in HPV-positive",74.41,3.72,1.5e-20,2.98e-18
"TMEM178B","ENSG00000261115.6","Higher in HPV-positive",624.16,3.588,1.98e-20,3.92e-18
"REXO5","ENSG00000005189.20","Higher in HPV-positive",223.14,1.327,2.47e-20,4.86e-18
"COLCA1","ENSG00000196167.10","Higher in HPV-positive",694.03,4.461,2.54e-20,4.96e-18
"CTSE","ENSG00000196188.12","Higher in HPV-positive",64.11,3.962,2.65e-20,5.13e-18
"AC055736.1","ENSG00000257500.1","Higher in HPV-negative",18.76,-4.448,2.89e-20,5.58e-18
"HMGN2P15","ENSG00000214578.5","Higher in HPV-positive",11.14,2.247,2.94e-20,5.64e-18
"MXD3","ENSG00000213347.10","Higher in HPV-positive",323.31,1.456,2.98e-20,5.68e-18
"MAMDC4","ENSG00000177943.14","Higher in HPV-positive",163.32,2.172,3.1e-20,5.86e-18
"CDA","ENSG00000158825.6","Higher in HPV-negative",2192.4,-3.084,3.24e-20,6.09e-18
"MMP13","ENSG00000137745.12","Higher in HPV-negative",14531.56,-4.383,3.74e-20,6.94e-18
"UBXN11","ENSG00000158062.20","Higher in HPV-positive",579.96,1.25,3.78e-20,6.98e-18
"GCSAM","ENSG00000174500.13","Higher in HPV-positive",229.22,1.536,4.06e-20,7.44e-18
"ASF1B","ENSG00000105011.9","Higher in HPV-positive",2151.72,1.237,4.43e-20,8.08e-18
"INHBA","ENSG00000122641.11","Higher in HPV-negative",9212.95,-2.468,4.8e-20,8.7e-18
"CRIM1-DT","ENSG00000260025.1","Higher in HPV-negative",45.04,-1.583,5.43e-20,9.73e-18
"C6orf15","ENSG00000204542.3","Higher in HPV-negative",615.28,-4.746,6.72e-20,1.2e-17
"AC093512.2","ENSG00000285043.2","Higher in HPV-positive",37.14,1.398,7.26e-20,1.28e-17
"CBX7","ENSG00000100307.13","Higher in HPV-positive",902.04,1.564,9.23e-20,1.6e-17
"AL162595.1","ENSG00000177788.6","Higher in HPV-positive",420.19,1.606,9.93e-20,1.72e-17
"ZBTB8B","ENSG00000273274.2","Higher in HPV-positive",6.65,3.493,1.29e-19,2.21e-17
"HMGA2","ENSG00000149948.14","Higher in HPV-negative",2736.53,-3.136,1.66e-19,2.83e-17
"MAGI3","ENSG00000081026.19","Higher in HPV-positive",1191.95,1.131,1.91e-19,3.25e-17
"TMEM158","ENSG00000249992.2","Higher in HPV-negative",676.17,-1.947,2.02e-19,3.42e-17
"RUNDC3A-AS1","ENSG00000267750.6","Higher in HPV-negative",45.27,-2.564,2.08e-19,3.5e-17
"ARHGAP4","ENSG00000089820.16","Higher in HPV-positive",1307.97,1.821,2.22e-19,3.7e-17
"CUL9","ENSG00000112659.14","Higher in HPV-positive",1636.5,1.216,2.25e-19,3.74e-17
"XKR4","ENSG00000206579.9","Higher in HPV-positive",74.12,4.473,2.39e-19,3.95e-17
"CT69","ENSG00000231971.6","Higher in HPV-negative",275.52,-3.24,2.75e-19,4.52e-17
"MAP7D2","ENSG00000184368.16","Higher in HPV-positive",336.29,3.847,3.55e-19,5.76e-17
"CENPH","ENSG00000153044.10","Higher in HPV-positive",785.38,1.211,4.17e-19,6.74e-17
"TMPO-AS1","ENSG00000257167.2","Higher in HPV-positive",194.57,1.359,5.77e-19,9.23e-17
"PKDCC","ENSG00000162878.13","Higher in HPV-positive",409.13,3.155,5.9e-19,9.39e-17
"ARNT2","ENSG00000172379.21","Higher in HPV-positive",855.94,2.586,6.55e-19,1.04e-16
"SLC4A3","ENSG00000114923.17","Higher in HPV-negative",526.64,-1.629,6.68e-19,1.05e-16
"ERO1B","ENSG00000086619.14","Higher in HPV-positive",512.71,1.689,7.91e-19,1.24e-16
"AL513327.1","ENSG00000225313.5","Higher in HPV-positive",43.97,1.435,7.96e-19,1.24e-16
"NEURL1B","ENSG00000214357.9","Higher in HPV-positive",2901.56,1.358,9.35e-19,1.45e-16
"PRIM1","ENSG00000198056.15","Higher in HPV-positive",317.32,1.022,1.06e-18,1.63e-16
"ZMAT1","ENSG00000166432.15","Higher in HPV-positive",88.69,2.6,1.3e-18,1.99e-16
"C11orf87","ENSG00000185742.7","Higher in HPV-negative",87.82,-4.813,1.46e-18,2.23e-16
"FAM111B","ENSG00000189057.11","Higher in HPV-positive",1349.99,1.486,1.89e-18,2.87e-16
"KCNA2","ENSG00000177301.16","Higher in HPV-positive",135.03,3.794,1.97e-18,2.97e-16
"BCL2","ENSG00000171791.14","Higher in HPV-positive",867.01,1.878,2e-18,2.99e-16
"KIRREL1","ENSG00000183853.18","Higher in HPV-negative",5531.44,-1.312,1.99e-18,2.99e-16
"CDKN1C","ENSG00000129757.14","Higher in HPV-positive",660.59,1.899,2.55e-18,3.75e-16
"FAM25C","ENSG00000276430.3","Higher in HPV-negative",20.32,-5.318,2.54e-18,3.75e-16
"COL19A1","ENSG00000082293.13","Higher in HPV-positive",100.32,4.285,2.76e-18,4.04e-16
"LHFPL4","ENSG00000156959.9","Higher in HPV-positive",28.15,5.298,3.07e-18,4.47e-16
"TMSB15A","ENSG00000158164.7","Higher in HPV-positive",48.61,2.746,3.24e-18,4.7e-16
"CBX5","ENSG00000094916.16","Higher in HPV-positive",7450.26,1.092,3.92e-18,5.63e-16
"PTHLH","ENSG00000087494.16","Higher in HPV-negative",9431.99,-2.621,4.26e-18,6.09e-16
"KRT75","ENSG00000170454.6","Higher in HPV-negative",4440.35,-3.648,4.81e-18,6.81e-16
"CENPJ","ENSG00000151849.15","Higher in HPV-positive",607.53,1.133,5.08e-18,7.16e-16
"SRPX","ENSG00000101955.15","Higher in HPV-negative",934.68,-2.302,6.39e-18,8.92e-16
"CCNI2","ENSG00000205089.8","Higher in HPV-positive",47.61,2.753,7.83e-18,1.09e-15
"LINC01214","ENSG00000243550.3","Higher in HPV-negative",23.22,-4.515,1.06e-17,1.46e-15
"DRGX","ENSG00000165606.9","Higher in HPV-positive",28.13,4.985,1.12e-17,1.54e-15
"LINC00504","ENSG00000248360.7","Higher in HPV-negative",148.69,-3.327,1.13e-17,1.54e-15
"GAS5-AS1","ENSG00000270084.2","Higher in HPV-positive",30.63,1.022,1.59e-17,2.14e-15
"WSCD1","ENSG00000179314.14","Higher in HPV-positive",107.45,2.41,1.63e-17,2.19e-15
"BX322234.2","ENSG00000233085.5","Higher in HPV-negative",20.54,-5.01,1.7e-17,2.27e-15
"CHAF1B","ENSG00000159259.8","Higher in HPV-positive",972.1,1.071,2.03e-17,2.68e-15
"TMEM150C","ENSG00000249242.8","Higher in HPV-positive",398.56,1.979,2.07e-17,2.71e-15
"HTRA1","ENSG00000166033.13","Higher in HPV-negative",10915.76,-1.729,2.16e-17,2.82e-15
"LIPE-AS1","ENSG00000213904.9","Higher in HPV-positive",55.49,1.807,2.18e-17,2.83e-15
"CBLN2","ENSG00000141668.10","Higher in HPV-positive",109.88,4.153,2.23e-17,2.89e-15
"RAB3B","ENSG00000169213.7","Higher in HPV-negative",577.12,-3.035,2.33e-17,3.01e-15
"CFAP44","ENSG00000206530.11","Higher in HPV-positive",169.18,1.812,2.42e-17,3.1e-15
"LCE1A","ENSG00000186844.6","Higher in HPV-negative",81.73,-6.087,2.83e-17,3.61e-15
"C3orf70","ENSG00000187068.3","Higher in HPV-positive",295.29,2.03,3.09e-17,3.92e-15
"RPSAP52","ENSG00000241749.4","Higher in HPV-negative",91.4,-2.866,3.23e-17,4.07e-15
"MMP10","ENSG00000166670.10","Higher in HPV-negative",10812.17,-3.351,3.29e-17,4.13e-15
"ESR1","ENSG00000091831.24","Higher in HPV-positive",329.96,2.194,3.31e-17,4.14e-15
"KNTC1","ENSG00000184445.12","Higher in HPV-positive",1804.54,1.015,3.73e-17,4.64e-15
"RALGPS1","ENSG00000136828.19","Higher in HPV-positive",342.54,1.551,3.76e-17,4.66e-15
"IRS1","ENSG00000169047.5","Higher in HPV-negative",4813.28,-1.542,3.85e-17,4.75e-15
"TCF19","ENSG00000137310.12","Higher in HPV-positive",2624.75,1.153,4.27e-17,5.23e-15
"SERPINE1","ENSG00000106366.9","Higher in HPV-negative",26333.56,-2.205,4.59e-17,5.58e-15
"RGS20","ENSG00000147509.14","Higher in HPV-negative",580.76,-2.071,4.59e-17,5.58e-15
"SLC37A2","ENSG00000134955.12","Higher in HPV-negative",2782.73,-1.537,4.64e-17,5.62e-15
"AC009121.3","ENSG00000263080.1","Higher in HPV-positive",7.04,2.167,5.47e-17,6.6e-15
"MIR2052HG","ENSG00000254349.6","Higher in HPV-negative",34.7,-3.34,5.84e-17,7.01e-15
"MMP1","ENSG00000196611.5","Higher in HPV-negative",36035.26,-2.925,5.94e-17,7.1e-15
"DELEC1","ENSG00000173077.16","Higher in HPV-negative",112.89,-2.814,6.26e-17,7.46e-15
"CCDC158","ENSG00000163749.17","Higher in HPV-positive",9.52,2.114,6.53e-17,7.75e-15
"TTC7B","ENSG00000165914.15","Higher in HPV-negative",1299.86,-1.281,6.6e-17,7.8e-15
"B3GNT4","ENSG00000176383.9","Higher in HPV-negative",199.22,-1.706,7.31e-17,8.6e-15
"ZNF37BP","ENSG00000234420.7","Higher in HPV-positive",316.18,1.31,8.72e-17,1.02e-14
"LFNG","ENSG00000106003.13","Higher in HPV-negative",2228.58,-1.679,9.4e-17,1.1e-14
"DSC1","ENSG00000134765.10","Higher in HPV-negative",1549.36,-3.869,1.05e-16,1.22e-14
"SLC6A2","ENSG00000103546.18","Higher in HPV-negative",412.56,-2.988,1.21e-16,1.39e-14
"AC010327.4","ENSG00000267577.1","Higher in HPV-negative",18.96,-4.065,1.21e-16,1.39e-14
"PPP1R12B","ENSG00000077157.22","Higher in HPV-positive",1943.83,1.552,1.32e-16,1.5e-14
"CDC25C","ENSG00000158402.20","Higher in HPV-positive",356.35,1.202,1.36e-16,1.55e-14
"MUC13","ENSG00000173702.7","Higher in HPV-positive",111.76,4.385,1.5e-16,1.68e-14
"NOTCH1","ENSG00000148400.12","Higher in HPV-positive",7590.26,1.317,1.87e-16,2.09e-14
"UBTD1","ENSG00000165886.5","Higher in HPV-negative",1220.96,-1.04,2e-16,2.23e-14
"LINC02091","ENSG00000273172.1","Higher in HPV-positive",8.3,3.115,2.05e-16,2.28e-14
"HLTF","ENSG00000071794.16","Higher in HPV-positive",1347.94,1.339,2.43e-16,2.67e-14
"KANK4","ENSG00000132854.19","Higher in HPV-negative",680.07,-3.025,2.42e-16,2.67e-14
"CAV1","ENSG00000105974.13","Higher in HPV-negative",27262.86,-2.032,2.53e-16,2.75e-14
"AC106820.4","ENSG00000260293.2","Higher in HPV-positive",39.02,2.52,2.53e-16,2.75e-14
"SPON2","ENSG00000159674.12","Higher in HPV-negative",4988.39,-1.701,2.83e-16,3.06e-14
"ENDOD1","ENSG00000149218.5","Higher in HPV-negative",5562.72,-1.32,2.89e-16,3.12e-14
"GKAP1","ENSG00000165113.13","Higher in HPV-positive",81.31,1.676,3.12e-16,3.34e-14
"ZCWPW1","ENSG00000078487.17","Higher in HPV-positive",210.26,1.465,3.15e-16,3.36e-14
"CHORDC1","ENSG00000110172.12","Higher in HPV-negative",2127.01,-1.093,3.21e-16,3.41e-14
"RANBP17","ENSG00000204764.14","Higher in HPV-positive",90.76,2.882,3.59e-16,3.79e-14
"POLQ","ENSG00000051341.14","Higher in HPV-positive",869.12,1.177,4.2e-16,4.42e-14
"GOLGA7B","ENSG00000155265.11","Higher in HPV-negative",1746.4,-2.405,4.77e-16,4.97e-14
"WDR87","ENSG00000171804.11","Higher in HPV-positive",6.21,4.642,4.84e-16,5.02e-14
"C20orf197","ENSG00000176659.9","Higher in HPV-negative",104.14,-3.286,4.9e-16,5.07e-14
"SH3GL2","ENSG00000107295.10","Higher in HPV-positive",4.52,3.269,5.19e-16,5.35e-14
"CFAP251","ENSG00000158023.10","Higher in HPV-negative",2954.2,-1.343,5.33e-16,5.48e-14
"HMSD","ENSG00000221887.6","Higher in HPV-positive",65.18,2.432,5.37e-16,5.5e-14
"AL161431.1","ENSG00000275216.2","Higher in HPV-negative",2347.74,-2.947,5.54e-16,5.66e-14
"CSAG1","ENSG00000198930.13","Higher in HPV-negative",259.23,-5.116,5.58e-16,5.67e-14
"MEIS1","ENSG00000143995.20","Higher in HPV-positive",724.86,1.342,5.6e-16,5.67e-14
"NGF","ENSG00000134259.5","Higher in HPV-negative",128.55,-2.52,6.41e-16,6.48e-14
"MGAT3-AS1","ENSG00000227188.1","Higher in HPV-positive",4.74,3.825,6.91e-16,6.91e-14
"DHFRP1","ENSG00000188985.6","Higher in HPV-positive",22.05,1.209,6.95e-16,6.92e-14
"MYO1B","ENSG00000128641.19","Higher in HPV-negative",17473.65,-1.35,7.33e-16,7.28e-14
"CCDC86","ENSG00000110104.13","Higher in HPV-negative",1694.67,-1.027,7.96e-16,7.88e-14
"KCNS1","ENSG00000124134.9","Higher in HPV-positive",330.98,3.431,8.5e-16,8.36e-14
"LINC00689","ENSG00000231419.6","Higher in HPV-positive",5.47,2.953,8.51e-16,8.36e-14
"AP000355.1","ENSG00000228923.1","Higher in HPV-positive",1.15,4.11,8.76e-16,8.58e-14
"ABCG4","ENSG00000172350.10","Higher in HPV-negative",79.98,-2.595,9.31e-16,9.1e-14
"VPS9D1-AS1","ENSG00000261373.1","Higher in HPV-negative",388.27,-1.785,9.35e-16,9.1e-14
"NLRP10","ENSG00000182261.4","Higher in HPV-negative",157.96,-3.515,1.01e-15,9.76e-14
"KRT79","ENSG00000185640.6","Higher in HPV-negative",365.61,-3.892,1.02e-15,9.86e-14
